Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
12:05:31,399.70,451.13,19.00
12:05:32,399.50,441.44,20.00
12:05:33,400.00,441.99,20.00
12:05:34,400.00,449.06,19.25
12:05:35,400.10,449.17,19.25
12:05:36,399.80,446.45,19.50
12:05:37,399.80,446.45,19.50
12:05:38,398.80,447.71,19.25
12:05:39,399.60,448.61,19.25
12:05:39,400.00,439.68,20.25
12:05:40,400.00,446.68,19.50
12:05:41,399.70,453.56,18.75
12:05:43,399.70,443.99,19.75
12:05:43,400.00,441.99,20.00
12:05:44,400.10,444.43,19.75
12:05:45,399.70,448.72,19.25
12:05:46,400.10,449.17,19.25
12:05:47,399.60,446.23,19.50
12:05:48,399.40,439.02,20.25
12:05:49,399.50,443.77,19.75
12:05:50,399.80,446.45,19.50
12:05:51,400.10,451.58,19.00
12:05:52,400.00,444.32,19.75
12:05:53,399.40,441.33,20.00
12:05:54,400.20,449.28,19.25
12:05:55,400.10,451.58,19.00
12:05:56,399.50,448.50,19.25
12:05:57,400.60,442.65,20.00
12:05:58,400.10,444.43,19.75
12:05:59,400.00,449.06,19.25
12:06:00,399.50,448.50,19.25
12:06:01,400.00,449.06,19.25
12:06:02,399.40,443.65,19.75
12:06:03,400.10,444.43,19.75
12:06:04,399.50,446.12,19.50
12:06:05,400.60,452.14,19.00
12:06:06,400.00,451.47,19.00
12:06:07,400.20,444.54,19.75
12:06:08,399.40,441.33,20.00
12:06:09,399.40,448.39,19.25
12:06:10,400.10,446.79,19.50
12:06:11,399.40,443.65,19.75
12:06:12,400.50,442.54,20.00
12:06:13,399.80,444.10,19.75
12:06:14,400.00,453.90,18.75
12:06:15,399.40,450.79,19.00
12:06:16,400.50,447.24,19.50
12:06:17,399.80,444.10,19.75
12:06:18,400.10,446.79,19.50
12:06:19,400.00,446.68,19.50
12:06:20,399.40,446.01,19.50
12:06:21,400.20,442.21,20.00
12:06:22,400.10,444.43,19.75
12:06:23,400.10,451.58,19.00
12:06:23,400.00,449.06,19.25
12:06:24,400.00,444.32,19.75
12:06:25,400.10,446.79,19.50
12:06:26,400.00,446.68,19.50
12:06:27,400.10,451.58,19.00
12:06:28,399.80,448.84,19.25
12:06:29,400.00,439.68,20.25
12:06:30,400.20,446.90,19.50
12:06:31,400.50,456.93,18.50
12:06:32,400.50,447.24,19.50
12:06:33,399.80,441.77,20.00
12:06:34,400.70,449.85,19.25
12:06:35,400.10,449.17,19.25
12:06:36,400.40,447.12,19.50
12:06:37,400.20,442.21,20.00
12:06:38,400.90,440.67,20.25
12:06:39,399.80,451.24,19.00
12:06:40,399.70,448.72,19.25
12:06:41,399.80,446.45,19.50
12:06:42,400.50,440.23,20.25
12:06:43,399.80,441.77,20.00
12:06:44,400.60,454.58,18.75
12:06:45,400.00,449.06,19.25
12:06:46,400.60,447.35,19.50
12:06:47,400.50,440.23,20.25
12:06:48,400.60,444.99,19.75
12:06:49,400.20,454.13,18.75
12:06:50,400.20,449.28,19.25
12:06:51,400.60,444.99,19.75
12:06:52,399.80,444.10,19.75
12:06:53,400.60,447.35,19.50
12:06:54,400.40,449.51,19.25
12:06:55,400.60,447.35,19.50
12:06:56,399.80,444.10,19.75
12:06:57,401.00,443.09,20.00
12:06:58,400.60,449.73,19.25
12:06:59,400.60,454.58,18.75
12:07:00,400.40,449.51,19.25
12:07:01,399.80,444.10,19.75
12:07:02,400.50,444.88,19.75
12:07:03,400.40,447.12,19.50
12:07:04,400.50,449.62,19.25
12:07:05,400.90,452.48,19.00
12:07:06,400.50,442.54,20.00
12:07:06,401.10,445.54,19.75
12:07:07,401.00,450.18,19.25
12:07:08,401.00,452.60,19.00
12:07:09,400.50,447.24,19.50
12:07:10,400.90,445.32,19.75
12:07:11,400.50,442.54,20.00
12:07:12,401.10,452.71,19.00
12:07:13,400.50,449.62,19.25
12:07:14,400.60,447.35,19.50
12:07:15,400.10,442.10,20.00
12:07:16,400.70,442.76,20.00
12:07:17,401.20,445.65,19.75
12:07:18,400.60,449.73,19.25
12:07:19,401.20,448.02,19.50
12:07:20,400.50,449.62,19.25
12:07:21,400.50,444.88,19.75
12:07:22,400.60,442.65,20.00
12:07:23,400.60,449.73,19.25
12:07:24,400.60,449.73,19.25
12:07:25,400.50,447.24,19.50
12:07:26,401.10,447.91,19.50
12:07:27,400.50,444.88,19.75
12:07:28,400.50,447.24,19.50
12:07:29,401.20,457.73,18.50
12:07:30,401.10,450.29,19.25
12:07:31,400.60,444.99,19.75
12:07:32,400.70,442.76,20.00
12:07:33,400.70,449.85,19.25
12:07:34,400.60,449.73,19.25
12:07:35,400.70,449.85,19.25
12:07:36,400.70,447.46,19.50
12:07:37,400.60,440.34,20.25
12:07:38,400.50,444.88,19.75
12:07:39,400.60,452.14,19.00
12:07:40,401.10,447.91,19.50
12:07:41,400.60,447.35,19.50
12:07:42,400.50,444.88,19.75
12:07:43,401.20,445.65,19.75
12:07:44,401.10,447.91,19.50
12:07:45,401.20,448.02,19.50
12:07:46,400.60,449.73,19.25
12:07:47,401.20,443.31,20.00
12:07:48,401.20,445.65,19.75
12:07:49,401.10,447.91,19.50
12:07:50,401.00,452.60,19.00
12:07:51,400.70,445.10,19.75
12:07:51,400.70,445.10,19.75
12:07:52,401.20,443.31,20.00
12:07:53,401.70,450.97,19.25
12:07:55,401.20,450.41,19.25
12:07:55,401.80,451.08,19.25
12:07:56,401.50,445.99,19.75
12:07:57,401.20,445.65,19.75
12:07:58,401.20,452.82,19.00
12:07:59,401.30,452.93,19.00
12:08:00,401.20,443.31,20.00
12:08:01,401.70,441.55,20.25
12:08:02,401.20,445.65,19.75
12:08:03,401.30,450.52,19.25
12:08:04,401.70,446.21,19.75
12:08:05,401.70,446.21,19.75
12:08:06,401.60,446.10,19.75
12:08:07,401.30,448.13,19.50
12:08:08,401.40,455.49,18.75
12:08:09,401.70,453.39,19.00
12:08:10,401.20,443.31,20.00
12:08:11,401.70,448.58,19.50
12:08:12,401.20,448.02,19.50
12:08:13,401.60,450.86,19.25
12:08:14,401.70,446.21,19.75
12:08:15,401.30,448.13,19.50
12:08:16,401.20,445.65,19.75
12:08:17,401.30,450.52,19.25
12:08:18,401.60,448.46,19.50
12:08:19,401.00,445.43,19.75
12:08:20,401.60,443.76,20.00
12:08:21,401.60,450.86,19.25
12:08:22,401.40,455.49,18.75
12:08:23,401.20,450.41,19.25
12:08:24,401.00,445.43,19.75
12:08:25,401.60,446.10,19.75
12:08:26,401.90,448.80,19.50
12:08:27,401.40,453.05,19.00
12:08:28,401.30,443.43,20.00
12:08:29,401.20,445.65,19.75
12:08:30,401.20,445.65,19.75
12:08:31,400.70,445.10,19.75
12:08:32,401.10,450.29,19.25
12:08:33,401.70,453.39,19.00
12:08:34,401.70,441.55,20.25
12:08:35,401.10,443.20,20.00
12:08:35,401.20,450.41,19.25
12:08:36,401.70,453.39,19.00
12:08:37,401.80,451.08,19.25
12:08:38,401.70,441.55,20.25
12:08:39,401.00,445.43,19.75
12:08:40,401.20,448.02,19.50
12:08:41,401.70,448.58,19.50
12:08:42,401.00,445.43,19.75
12:08:43,401.80,443.98,20.00
12:08:44,401.90,448.80,19.50
12:08:45,401.30,445.77,19.75
12:08:46,401.20,450.41,19.25
12:08:47,401.70,450.97,19.25
12:08:48,402.20,456.40,18.75
12:08:49,401.70,443.87,20.00
12:08:50,401.60,446.10,19.75
12:08:51,401.60,455.72,18.75
12:08:52,401.80,448.69,19.50
12:08:53,402.40,444.64,20.00
12:08:54,401.80,443.98,20.00
12:08:55,401.80,453.50,19.00
12:08:56,402.30,451.64,19.25
12:08:57,401.80,448.69,19.50
12:08:58,401.70,446.21,19.75
12:08:59,401.60,448.46,19.50
12:09:00,401.80,448.69,19.50
12:09:01,401.60,450.86,19.25
12:09:02,401.20,448.02,19.50
12:09:03,401.70,446.21,19.75
12:09:04,401.90,446.43,19.75
12:09:05,401.30,448.13,19.50
12:09:06,401.70,450.97,19.25
12:09:07,401.90,448.80,19.50
12:09:08,401.90,448.80,19.50
12:09:09,401.50,443.65,20.00
12:09:10,401.40,445.88,19.75
12:09:11,401.40,450.63,19.25
12:09:12,401.30,450.52,19.25
12:09:13,401.30,443.43,20.00
12:09:14,400.80,440.56,20.25
12:09:15,401.90,446.43,19.75
12:09:16,401.90,451.19,19.25
12:09:17,401.80,446.32,19.75
12:09:18,401.70,441.55,20.25
12:09:19,401.70,446.21,19.75
12:09:19,401.80,453.50,19.00
12:09:21,401.70,453.39,19.00
12:09:21,401.30,443.43,20.00
12:09:22,402.30,442.21,20.25
12:09:23,401.90,446.43,19.75
12:09:24,401.80,451.08,19.25
12:09:25,401.80,446.32,19.75
12:09:27,401.60,441.44,20.25
12:09:27,402.30,444.53,20.00
12:09:28,402.30,451.64,19.25
12:09:29,401.60,450.86,19.25
12:09:30,402.30,442.21,20.25
12:09:31,401.80,443.98,20.00
12:09:32,401.70,446.21,19.75
12:09:33,402.30,451.64,19.25
12:09:34,401.70,448.58,19.50
12:09:35,402.10,446.65,19.75
12:09:36,402.30,449.25,19.50
12:09:37,401.60,448.46,19.50
12:09:38,401.70,446.21,19.75
12:09:39,402.20,442.10,20.25
12:09:40,402.20,449.13,19.50
12:09:41,402.10,451.42,19.25
12:09:42,402.20,451.53,19.25
12:09:43,402.10,441.99,20.25
12:09:44,402.20,444.42,20.00
12:09:45,401.70,455.83,18.75
12:09:46,402.10,451.42,19.25
12:09:47,402.30,446.88,19.75
12:09:48,402.30,444.53,20.00
12:09:49,402.30,449.25,19.50
12:09:50,402.10,449.02,19.50
12:09:51,402.30,449.25,19.50
12:09:52,402.30,442.21,20.25
12:09:53,402.10,444.31,20.00
12:09:54,402.10,451.42,19.25
12:09:55,402.60,451.98,19.25
12:09:56,402.30,454.06,19.00
12:09:57,402.20,442.10,20.25
12:09:58,402.20,446.76,19.75
12:09:59,402.20,453.95,19.00
12:10:00,402.30,451.64,19.25
12:10:01,402.80,452.20,19.25
12:10:02,402.20,444.42,20.00
12:10:03,402.60,444.86,20.00
12:10:03,402.80,449.80,19.50
12:10:04,402.00,448.91,19.50
12:10:05,402.20,444.42,20.00
12:10:06,402.80,445.08,20.00
12:10:07,402.30,454.06,19.00
12:10:08,402.40,451.75,19.25
12:10:09,401.80,451.08,19.25
12:10:10,402.40,442.32,20.25
12:10:11,402.40,444.64,20.00
12:10:12,402.40,451.75,19.25
12:10:13,401.90,448.80,19.50
12:10:14,401.80,443.98,20.00
12:10:15,402.50,444.75,20.00
12:10:16,402.30,449.25,19.50
12:10:17,402.40,449.36,19.50
12:10:18,402.40,449.36,19.50
12:10:19,402.40,442.32,20.25
12:10:20,402.40,446.99,19.75
12:10:21,401.90,448.80,19.50
12:10:22,402.30,446.88,19.75
12:10:23,402.50,444.75,20.00
12:10:25,401.70,443.87,20.00
12:10:25,402.40,446.99,19.75
12:10:26,402.80,452.20,19.25
12:10:27,402.40,449.36,19.50
12:10:28,401.70,443.87,20.00
12:10:29,402.40,444.64,20.00
12:10:30,402.30,444.53,20.00
12:10:31,402.90,452.32,19.25
12:10:32,402.30,449.25,19.50
12:10:33,402.20,446.76,19.75
12:10:34,402.30,446.88,19.75
12:10:35,403.00,450.03,19.50
12:10:36,402.80,449.80,19.50
12:10:37,402.30,446.88,19.75
12:10:38,402.20,442.10,20.25
12:10:39,402.80,442.76,20.25
12:10:40,402.30,454.06,19.00
12:10:41,401.80,451.08,19.25
12:10:42,402.20,446.76,19.75
12:10:43,402.30,444.53,20.00
12:10:44,402.40,449.36,19.50
12:10:45,402.30,451.64,19.25
12:10:46,402.20,442.10,20.25
12:10:47,402.30,444.53,20.00
12:10:48,403.10,445.41,20.00
12:10:48,403.00,450.03,19.50
12:10:49,402.90,447.54,19.75
12:10:50,403.10,445.41,20.00
12:10:51,402.60,444.86,20.00
12:10:52,402.50,451.87,19.25
12:10:53,403.10,454.97,19.00
12:10:54,403.00,445.30,20.00
12:10:55,402.50,449.47,19.50
12:10:56,403.00,454.85,19.00
12:10:57,402.90,452.32,19.25
12:10:58,403.10,452.54,19.25
12:10:59,402.50,447.10,19.75
12:11:00,402.90,447.54,19.75
12:11:01,402.30,451.64,19.25
12:11:02,402.90,447.54,19.75
12:11:03,402.90,442.87,20.25
12:11:04,402.50,449.47,19.50
12:11:05,403.00,457.30,18.75
12:11:06,403.00,450.03,19.50
12:11:07,402.90,447.54,19.75
12:11:08,402.90,447.54,19.75
12:11:09,403.00,452.43,19.25
12:11:10,403.00,450.03,19.50
12:11:11,402.90,445.19,20.00
12:11:12,402.40,449.36,19.50
12:11:13,402.90,449.92,19.50
12:11:14,403.00,450.03,19.50
12:11:15,403.60,443.64,20.25
12:11:16,402.90,447.54,19.75
12:11:17,403.10,452.54,19.25
12:11:18,403.10,450.14,19.50
12:11:19,403.00,450.03,19.50
12:11:20,402.90,442.87,20.25
12:11:21,402.80,452.20,19.25
12:11:22,403.50,452.99,19.25
12:11:23,403.00,450.03,19.50
12:11:24,403.00,445.30,20.00
12:11:25,403.30,447.99,19.75
12:11:26,402.90,449.92,19.50
12:11:27,403.40,448.10,19.75
12:11:28,403.00,445.30,20.00
12:11:29,402.90,449.92,19.50
12:11:30,403.00,450.03,19.50
12:11:31,403.00,445.30,20.00
12:11:31,402.90,445.19,20.00
12:11:32,403.10,452.54,19.25
12:11:33,403.10,454.97,19.00
12:11:34,403.10,443.09,20.25
12:11:35,402.40,444.64,20.00
12:11:39,402.60,449.58,19.50
12:11:39,402.50,447.10,19.75
12:11:39,403.10,440.79,20.50
12:11:39,402.40,446.99,19.75
12:11:40,403.00,452.43,19.25
12:11:41,403.10,450.14,19.50
12:11:42,403.10,445.41,20.00
12:11:43,402.90,447.54,19.75
12:11:44,403.20,452.65,19.25
12:11:45,403.50,457.87,18.75
12:11:46,403.70,446.08,20.00
12:11:47,403.10,447.76,19.75
12:11:48,403.20,457.53,18.75
12:11:49,403.20,447.88,19.75
12:11:50,403.10,443.09,20.25
12:11:51,403.20,447.88,19.75
12:11:52,403.10,450.14,19.50
12:11:53,403.60,453.10,19.25
12:11:54,403.10,447.76,19.75
12:11:55,403.30,443.31,20.25
12:11:56,402.90,449.92,19.50
12:11:57,403.60,453.10,19.25
12:11:58,403.40,443.42,20.25
12:11:59,403.10,445.41,20.00
12:12:00,403.20,445.52,20.00
12:12:01,403.30,455.19,19.00
12:12:02,403.10,450.14,19.50
12:12:03,403.70,443.75,20.25
12:12:04,402.90,445.19,20.00
12:12:05,403.70,450.81,19.50
12:12:06,403.60,450.70,19.50
12:12:07,403.20,440.90,20.50
12:12:08,403.20,445.52,20.00
12:12:09,403.50,455.42,19.00
12:12:10,404.00,453.55,19.25
12:12:11,403.50,441.22,20.50
12:12:12,403.60,448.32,19.75
12:12:13,403.10,450.14,19.50
12:12:14,403.60,453.10,19.25
12:12:15,403.50,445.86,20.00
12:12:15,403.50,443.53,20.25
12:12:16,403.50,450.59,19.50
12:12:18,403.40,452.88,19.25
12:12:19,403.50,448.21,19.75
12:12:19,403.40,445.75,20.00
12:12:20,403.50,448.21,19.75
12:12:21,403.50,450.59,19.50
12:12:22,403.40,445.75,20.00
12:12:23,403.80,453.33,19.25
12:12:24,404.00,453.55,19.25
12:12:25,403.70,450.81,19.50
12:12:26,403.00,450.03,19.50
12:12:27,403.40,443.42,20.25
12:12:28,404.10,448.88,19.75
12:12:29,404.10,451.26,19.50
12:12:30,403.60,450.70,19.50
12:12:31,403.40,445.75,20.00
12:12:32,403.90,453.44,19.25
12:12:33,404.50,459.01,18.75
12:12:34,403.50,445.86,20.00
12:12:35,404.00,448.76,19.75
12:12:36,404.00,448.76,19.75
12:12:37,403.60,455.53,19.00
12:12:38,404.10,444.19,20.25
12:12:39,404.60,451.81,19.50
12:12:40,403.30,450.36,19.50
12:12:41,403.60,453.10,19.25
12:12:42,403.60,453.10,19.25
12:12:43,404.10,446.52,20.00
12:12:44,403.50,448.21,19.75
12:12:45,403.50,448.21,19.75
12:12:46,403.50,450.59,19.50
12:12:47,403.30,447.99,19.75
12:12:48,404.10,444.19,20.25
12:12:49,404.10,448.88,19.75
12:12:50,403.40,452.88,19.25
12:12:51,404.10,458.55,18.75
12:12:52,404.10,451.26,19.50
12:12:53,403.60,443.64,20.25
12:12:54,403.60,450.70,19.50
12:12:55,403.60,455.53,19.00
12:12:56,403.50,450.59,19.50
12:12:57,404.10,453.66,19.25
12:12:58,403.40,443.42,20.25
12:12:58,403.60,443.64,20.25
12:12:59,403.50,448.21,19.75
12:13:00,403.90,453.44,19.25
12:13:01,404.00,451.14,19.50
12:13:02,403.90,443.97,20.25
12:13:03,404.00,446.41,20.00
12:13:04,403.80,446.19,20.00
12:13:05,404.00,451.14,19.50
12:13:06,404.10,448.88,19.75
12:13:07,404.10,441.88,20.50
12:13:08,404.10,444.19,20.25
12:13:09,404.00,446.41,20.00
12:13:10,404.20,451.37,19.50
12:13:11,404.00,448.76,19.75
12:13:12,404.00,441.77,20.50
12:13:13,403.90,451.03,19.50
12:13:14,404.00,448.76,19.75
12:13:15,404.00,451.14,19.50
12:13:16,405.10,452.37,19.50
12:13:17,404.00,448.76,19.75
12:13:18,404.40,444.52,20.25
12:13:19,404.00,451.14,19.50
12:13:20,404.40,454.00,19.25
12:13:21,404.00,451.14,19.50
12:13:22,403.80,448.54,19.75
12:13:23,404.00,444.08,20.25
12:13:24,404.10,448.88,19.75
12:13:25,404.00,451.14,19.50
12:13:26,404.00,448.76,19.75
12:13:27,404.00,451.14,19.50
12:13:28,404.10,448.88,19.75
12:13:29,403.80,448.54,19.75
12:13:30,404.60,451.81,19.50
12:13:31,404.50,454.11,19.25
12:13:32,403.90,443.97,20.25
12:13:33,404.50,446.96,20.00
12:13:34,403.90,448.65,19.75
12:13:35,404.40,451.59,19.50
12:13:36,404.40,446.85,20.00
12:13:37,404.30,449.10,19.75
12:13:38,404.00,448.76,19.75
12:13:39,404.30,453.89,19.25
12:13:40,404.50,451.70,19.50
12:13:41,404.00,444.08,20.25
12:13:42,404.00,448.76,19.75
12:13:42,404.00,451.14,19.50
12:13:43,404.40,451.59,19.50
12:13:44,404.00,444.08,20.25
12:13:45,404.00,448.76,19.75
12:13:46,404.40,454.00,19.25
12:13:47,403.80,453.33,19.25
12:13:48,404.50,444.63,20.25
12:13:49,404.40,446.85,20.00
12:13:50,403.80,450.92,19.50
12:13:51,405.00,454.67,19.25
12:13:52,404.80,447.29,20.00
12:13:53,404.40,444.52,20.25
12:13:54,403.90,451.03,19.50
12:13:55,404.50,451.70,19.50
12:13:56,404.60,451.81,19.50
12:13:57,404.50,444.63,20.25
12:13:58,404.40,446.85,20.00
12:13:59,404.50,451.70,19.50
12:14:00,404.60,454.22,19.25
12:14:01,404.10,448.88,19.75
12:14:02,404.00,444.08,20.25
12:14:03,404.10,451.26,19.50
12:14:04,404.10,448.88,19.75
12:14:05,403.90,446.30,20.00
12:14:06,404.00,446.41,20.00
12:14:07,404.00,448.76,19.75
12:14:08,404.50,451.70,19.50
12:14:09,404.00,448.76,19.75
12:14:10,404.60,444.74,20.25
12:14:11,404.00,448.76,19.75
12:14:12,404.30,451.48,19.50
12:14:13,404.50,451.70,19.50
12:14:14,404.00,444.08,20.25
12:14:15,404.10,451.26,19.50
12:14:16,405.10,457.22,19.00
12:14:17,404.40,454.00,19.25
12:14:18,404.40,444.52,20.25
12:14:19,404.40,446.85,20.00
12:14:20,404.40,449.21,19.75
12:14:21,403.90,453.44,19.25
12:14:22,403.90,443.97,20.25
12:14:23,404.40,444.52,20.25
12:14:24,404.30,446.74,20.00
12:14:25,404.60,456.66,19.00
12:14:25,404.40,449.21,19.75
12:14:26,404.50,451.70,19.50
12:14:27,404.50,446.96,20.00
12:14:28,404.40,449.21,19.75
12:14:29,404.30,456.32,19.00
12:14:30,404.30,451.48,19.50
12:14:31,404.20,448.99,19.75
12:14:32,404.60,449.43,19.75
12:14:34,404.10,446.52,20.00
12:14:34,404.20,453.77,19.25
12:14:35,404.50,451.70,19.50
12:14:36,404.30,446.74,20.00
12:14:37,404.50,444.63,20.25
12:14:38,404.50,446.96,20.00
12:14:39,404.40,451.59,19.50
12:14:40,404.50,451.70,19.50
12:14:41,404.40,456.43,19.00
12:14:42,404.40,446.85,20.00
12:14:43,404.40,449.21,19.75
12:14:44,403.90,453.44,19.25
12:14:45,404.40,454.00,19.25
12:14:46,403.80,450.92,19.50
12:14:47,404.10,444.19,20.25
12:14:48,404.10,451.26,19.50
12:14:49,404.00,448.76,19.75
12:14:50,404.10,451.26,19.50
12:14:51,404.60,449.43,19.75
12:14:52,404.00,453.55,19.25
12:14:53,404.10,444.19,20.25
12:14:54,404.10,448.88,19.75
12:14:55,404.20,453.77,19.25
12:14:56,404.60,449.43,19.75
12:14:57,404.00,446.41,20.00
12:14:58,404.00,446.41,20.00
12:14:59,404.70,449.54,19.75
12:15:00,405.20,452.48,19.50
12:15:01,405.10,452.37,19.50
12:15:02,404.10,444.19,20.25
12:15:03,404.50,449.32,19.75
12:15:04,404.50,454.11,19.25
12:15:05,404.50,451.70,19.50
12:15:06,404.60,449.43,19.75
12:15:07,404.50,444.63,20.25
12:15:08,404.60,449.43,19.75
12:15:09,404.20,453.77,19.25
12:15:09,404.10,451.26,19.50
12:15:10,404.60,449.43,19.75
12:15:11,404.60,444.74,20.25
12:15:12,404.70,451.93,19.50
12:15:13,404.70,454.34,19.25
12:15:14,405.30,450.21,19.75
12:15:15,404.70,449.54,19.75
12:15:16,404.20,448.99,19.75
12:15:17,404.70,449.54,19.75
12:15:18,404.70,447.18,20.00
12:15:19,404.70,447.18,20.00
12:15:20,404.50,449.32,19.75
12:15:21,405.10,452.37,19.50
12:15:22,404.60,451.81,19.50
12:15:23,404.70,442.54,20.50
12:15:24,404.20,444.30,20.25
12:15:25,404.20,456.21,19.00
12:15:26,404.20,448.99,19.75
12:15:27,404.70,449.54,19.75
12:15:28,404.10,444.19,20.25
12:15:29,404.60,451.81,19.50
12:15:30,404.70,451.93,19.50
12:15:31,405.20,447.73,20.00
12:15:32,404.70,444.85,20.25
12:15:33,404.20,444.30,20.25
12:15:34,404.70,451.93,19.50
12:15:35,404.70,451.93,19.50
12:15:36,404.60,447.07,20.00
12:15:37,404.10,446.52,20.00
12:15:38,404.70,444.85,20.25
12:15:39,404.60,451.81,19.50
12:15:40,404.30,449.10,19.75
12:15:41,404.70,449.54,19.75
12:15:42,404.60,444.74,20.25
12:15:43,404.60,454.22,19.25
12:15:44,404.70,454.34,19.25
12:15:45,404.50,444.63,20.25
12:15:46,405.20,447.73,20.00
12:15:47,405.00,452.26,19.50
12:15:48,405.00,449.88,19.75
12:15:49,404.60,454.22,19.25
12:15:50,404.50,446.96,20.00
12:15:51,404.50,451.70,19.50
12:15:52,404.50,449.32,19.75
12:15:53,405.20,459.80,18.75
12:15:54,404.60,447.07,20.00
12:15:54,405.10,445.29,20.25
12:15:56,404.60,447.07,20.00
12:15:56,404.60,451.81,19.50
12:15:57,404.60,451.81,19.50
12:15:58,405.10,445.29,20.25
12:15:59,404.60,444.74,20.25
12:16:00,404.60,451.81,19.50
12:16:01,405.30,455.01,19.25
12:16:02,405.20,452.48,19.50
12:16:03,404.60,444.74,20.25
12:16:04,404.50,446.96,20.00
12:16:05,405.10,452.37,19.50
12:16:06,405.30,450.21,19.75
12:16:07,404.40,442.21,20.50
12:16:08,404.60,449.43,19.75
12:16:09,404.80,452.04,19.50
12:16:10,404.60,447.07,20.00
12:16:11,405.30,443.19,20.50
12:16:12,404.50,451.70,19.50
12:16:13,405.10,452.37,19.50
12:16:14,405.20,445.40,20.25
12:16:15,405.20,445.40,20.25
12:16:16,404.50,446.96,20.00
12:16:17,405.20,452.48,19.50
12:16:18,405.10,445.29,20.25
12:16:19,404.80,449.65,19.75
12:16:20,404.50,449.32,19.75
12:16:21,404.40,449.21,19.75
12:16:22,405.10,445.29,20.25
12:16:23,404.50,449.32,19.75
12:16:24,405.10,452.37,19.50
12:16:25,404.60,451.81,19.50
12:16:26,405.10,442.97,20.50
12:16:27,404.60,447.07,20.00
12:16:28,404.50,451.70,19.50
12:16:29,405.40,450.32,19.75
12:16:30,404.60,447.07,20.00
12:16:31,404.70,444.85,20.25
12:16:32,404.10,453.66,19.25
12:16:33,404.60,454.22,19.25
12:16:34,404.90,447.40,20.00
12:16:35,405.30,447.85,20.00
12:16:36,404.90,449.76,19.75
12:16:37,404.70,454.34,19.25
12:16:38,404.80,449.65,19.75
12:16:38,404.90,447.40,20.00
12:16:39,404.50,449.32,19.75
12:16:40,405.20,457.34,19.00
12:16:41,405.20,447.73,20.00
12:16:42,405.30,443.19,20.50
12:16:43,404.70,444.85,20.25
12:16:44,404.90,449.76,19.75
12:16:45,405.00,449.88,19.75
12:16:46,404.80,440.36,20.75
12:16:47,404.50,449.32,19.75
12:16:48,405.20,454.90,19.25
12:16:49,404.80,447.29,20.00
12:16:50,405.40,447.96,20.00
12:16:51,404.80,449.65,19.75
12:16:52,404.70,456.77,19.00
12:16:53,405.40,450.32,19.75
12:16:54,404.60,444.74,20.25
12:16:55,405.20,445.40,20.25
12:16:56,404.70,454.34,19.25
