Time,Conductivity (mS)
13:49:08,0.38
13:49:14,0.41
13:49:20,0.41
13:49:26,0.41
13:49:32,0.41
13:49:38,0.41
13:49:44,0.41
13:49:50,0.41
13:49:56,0.4
13:50:02,0.41
13:50:08,0.4
13:50:14,0.41
13:50:20,0.4
13:50:26,0.41
13:50:32,0.41
13:50:38,0.4
13:50:44,0.4
13:50:50,0.41
13:50:56,0.4
13:51:02,0.4
13:51:08,0.4
13:51:14,0.4
13:51:20,0.4
13:51:26,0.4
13:51:32,0.43
13:51:38,0.43
13:51:44,0.43
13:51:50,0.42
13:51:56,0.42
13:52:02,0.42
13:52:08,0.42
13:52:14,0.42
13:52:20,0.43
13:52:26,0.43
13:52:32,0.43
13:52:38,0.43
13:52:44,0.43
13:52:50,0.43
13:52:56,0.43
13:53:02,0.43
13:53:08,0.43
13:53:14,0.43
13:53:20,0.43
13:53:26,0.43
13:53:32,0.43
13:53:38,0.43
13:53:44,0.43
13:53:50,0.43
13:53:56,0.43
13:54:02,0.43
13:54:08,0.43
13:54:14,0.43
13:54:20,0.43
13:54:26,0.43
13:54:32,0.43
13:54:38,0.43
13:54:44,0.43
13:54:50,0.43
13:54:56,0.43
13:55:02,0.43
13:55:08,0.43
13:55:14,0.42
13:55:20,0.43
13:55:26,0.42
13:55:32,0.42
13:55:38,0.42
13:55:44,0.42
13:55:50,0.42
13:55:56,0.43
13:56:02,0.42
13:56:08,0.42
13:56:14,0.42
13:56:20,0.42
13:56:26,0.42
13:56:32,0.42
13:56:38,0.42
13:56:44,0.42
13:56:50,0.42
13:56:56,0.42
13:57:02,0.42
13:57:08,0.42
13:57:14,0.42
13:57:20,0.42
13:57:26,0.42
13:57:32,0.42
13:57:38,0.42
13:57:44,0.42
13:57:50,0.42
13:57:56,0.42
13:58:02,0.42
13:58:08,0.41
13:58:14,0.42
13:58:20,0.42
13:58:26,0.42
13:58:32,0.41
13:58:38,0.41
13:58:44,0.41
13:58:50,0.41
13:58:56,0.41
13:59:02,0.42
13:59:08,0.41
13:59:14,0.41
13:59:20,0.41
13:59:26,0.21
13:59:32,0.42
13:59:38,0.42
13:59:44,0.41
13:59:50,0.42
13:59:56,0.41
14:00:02,0.41
14:00:08,0.41
14:00:14,0.42
14:00:20,0.41
14:00:26,0.41
14:00:32,0.41
14:00:38,0.41
14:00:44,0.42
14:00:50,0.42
14:00:56,0.41
14:01:02,0.41
14:01:08,0.41
14:01:14,0.41
14:01:20,0.41
14:01:26,0.41
14:01:32,0.41
14:01:38,0.41
14:01:44,0.41
14:01:50,0.41
14:01:56,0.41
14:02:02,0.41
14:02:08,0.41
14:02:14,0.41
14:02:20,0.41
14:02:26,0.41
14:02:32,0.41
14:02:38,0.41
14:02:44,0.41
14:02:50,0.49
14:02:56,0.59
14:03:02,0.61
14:03:08,0.62
14:03:14,0.62
14:03:20,0.63
14:03:26,0.63
14:03:32,0.63
14:03:38,0.64
14:03:44,0.64
14:03:50,0.64
14:03:56,0.7
14:04:02,0.71
14:04:08,0.71
14:04:14,0.71
14:04:20,0.72
14:04:26,0.72
14:04:32,0.71
14:04:38,0.72
14:04:44,0.71
14:04:50,0.72
14:04:56,0.72
14:05:02,0
14:05:08,0.72
14:05:14,0.72
14:05:20,0.72
14:05:26,0.72
14:05:32,0.74
14:05:38,0.74
14:05:44,0.75
14:05:50,0.74
14:05:56,0.75
14:06:02,0.75
14:06:08,0.74
14:06:14,0.75
14:06:20,0.75
14:06:26,0.75
14:06:32,0.76
14:06:38,0.75
14:06:44,0.76
14:06:50,0.75
14:06:56,0.75
14:07:02,0.75
14:07:08,0.75
14:07:14,0.75
14:07:20,0.75
14:07:26,0.75
14:07:32,0.75
14:07:38,0.76
14:07:44,0.75
14:07:50,0.75
14:07:56,0.82
14:08:02,0.83
14:08:08,0.84
14:08:14,0.8
14:08:20,0.8
14:08:26,0.8
14:08:32,0.8
14:08:38,0.8
14:08:44,0.8
14:08:50,0.8
14:08:56,0.8
14:09:02,0.8
14:09:08,0.8
14:09:14,0.8
14:09:20,0.8
14:09:26,0.8
14:09:32,0.8
14:09:38,0.81
14:09:44,0.8
14:09:50,0.8
14:09:56,0.8
14:10:02,0.8
14:10:08,0.01
14:10:14,0.8
14:10:20,0.8
14:10:26,0.8
14:10:32,0.81
14:10:38,0.81
14:10:44,0.8
14:10:50,0.81
14:10:56,0.81
14:11:02,0.81
14:11:08,0.81
14:11:14,0.81
14:11:20,0.81
14:11:26,0.81
14:11:32,0.81
14:11:38,0.77
14:11:44,0.78
14:11:50,0.77
14:11:56,0.77
14:12:02,0.77
14:12:08,0.77
14:12:14,0.76
14:12:20,0.76
14:12:26,0.76
14:12:32,0.76
14:12:38,0.76
14:12:44,0.76
14:12:50,0.76
14:12:56,0.76
14:13:02,0.76
14:13:08,0.76
14:13:14,0.76
14:13:20,0.76
14:13:26,0.76
14:13:32,0.76
14:13:38,0.76
14:13:44,0.77
14:13:50,0.76
14:13:56,0.76
14:14:02,0.76
14:14:08,0.76
14:14:14,0.77
14:14:20,0.77
14:14:26,0.76
14:14:32,0.77
14:14:38,0.77
14:14:44,0.77
14:14:50,0.76
14:14:56,0.76
14:15:02,0.76
14:15:08,0.76
14:15:14,0.77
14:15:20,0.76
14:15:26,0.76
14:15:32,0.76
14:15:38,0.76
14:15:44,0.73
14:15:50,0.73
14:15:56,0.74
14:16:02,0.74
14:16:08,0.73
14:16:14,0.74
14:16:20,0.73
14:16:26,0.74
14:16:32,0.74
14:16:38,0.73
14:16:44,0.74
14:16:50,0.74
14:16:56,0.73
14:17:02,0.73
14:17:08,0.74
14:17:14,0.74
14:17:20,0.73
14:17:26,0.73
14:17:32,0.73
14:17:38,0.74
14:17:44,0.73
14:17:50,0.73
14:17:56,0.73
14:18:02,0.73
14:18:08,0.73
14:18:14,0.73
14:18:20,0.73
14:18:26,0.73
14:18:32,0.73
14:18:38,0.73
14:18:44,0.73
14:18:50,0.73
14:18:56,0.73
14:19:02,0.73
14:19:08,0.73
14:19:14,0.73
14:19:20,0.73
14:19:26,0.73
14:19:32,0.73
14:19:38,0.73
14:19:44,0.73
14:19:50,0.73
14:19:56,0.73
14:20:02,0.73
14:20:08,0.73
14:20:14,0.73
14:20:20,0.73
14:20:26,0.73
14:20:32,0.73
14:20:38,0.72
14:20:44,0.73
14:20:50,0.72
14:20:56,0.72
14:21:02,0.73
14:21:08,0.73
14:21:14,0.72
14:21:20,0.72
14:21:26,0.73
14:21:32,0.73
14:21:38,0.74
14:21:44,0.75
14:21:50,0.77
14:21:56,0.8
14:22:02,0.83
14:22:08,0.87
14:22:14,0.93
14:22:20,1.01
14:22:26,1.06
14:22:32,1.12
14:22:38,1.15
14:22:44,1.2
14:22:50,1.22
14:22:56,1.26
14:23:02,1.28
14:23:08,1.31
14:23:14,1.33
14:23:20,1.36
14:23:26,1.38
14:23:32,1.42
14:23:38,1.42
14:23:44,1.44
14:23:50,1.46
14:23:56,1.46
14:24:02,1.47
14:24:08,0.04
14:24:14,1.49
14:24:20,1.52
14:24:26,1.52
14:24:32,1.52
14:24:38,1.52
14:24:44,1.53
14:24:50,1.61
14:24:56,1.63
14:25:02,1.63
14:25:08,1.6
14:25:14,1.62
14:25:20,1.61
14:25:26,1.63
14:25:32,1.63
14:25:38,1.62
14:25:44,1.63
14:25:50,1.63
14:25:56,1.62
14:26:02,1.62
14:26:08,1.62
14:26:14,1.61
14:26:20,1.63
14:26:26,1.61
14:26:32,1.67
14:26:38,1.67
14:26:44,1.67
14:26:50,1.66
14:26:56,1.68
14:27:02,1.67
14:27:08,1.67
14:27:14,1.69
14:27:20,1.7
14:27:26,1.7
14:27:32,1.69
14:27:38,1.69
14:27:44,1.71
14:27:50,1.69
14:27:56,1.7
14:28:02,1.7
14:28:08,1.7
14:28:14,1.71
14:28:20,1.69
14:28:26,1.71
14:28:32,1.68
14:28:38,1.7
14:28:44,1.69
14:28:50,1.7
14:28:56,1.69
14:29:02,1.7
14:29:08,1.71
14:29:14,1.69
14:29:20,1.69
14:29:26,1.7
14:29:32,1.69
14:29:38,1.69
14:29:44,1.71
14:29:50,1.69
14:29:56,1.71
14:30:02,1.69
14:30:08,1.71
14:30:14,1.68
14:30:20,1.71
14:30:26,1.7
14:30:32,1.7
14:30:38,1.7
14:30:44,1.7
14:30:50,0.14
14:30:56,1.67
14:31:02,1.68
14:31:08,1.69
14:31:14,1.69
14:31:20,1.67
14:31:26,1.68
14:31:32,1.67
14:31:38,1.68
14:31:44,1.69
14:31:50,1.69
14:31:56,1.69
14:32:02,1.67
14:32:08,1.68
14:32:14,1.68
14:32:20,1.68
14:32:26,1.67
14:32:32,1.68
14:32:38,1.67
14:32:44,1.69
14:32:50,1.67
14:32:56,1.67
14:33:02,1.69
14:33:08,1.69
14:33:14,1.69
14:33:20,1.67
14:33:26,1.69
14:33:32,1.69
14:33:38,1.69
14:33:44,1.69
14:33:50,1.69
14:33:56,1.69
14:34:02,1.69
14:34:08,1.67
14:34:14,1.68
14:34:20,1.69
14:34:26,1.67
14:34:32,1.69
14:34:38,1.69
14:34:44,1.69
14:34:50,1.67
14:34:56,1.67
14:35:02,1.68
14:35:08,1.68
14:35:14,1.68
14:35:20,1.68
14:35:26,1.69
14:35:32,1.67
14:35:38,1.69
14:35:44,1.7
14:35:50,1.69
14:35:56,1.7
14:36:02,1.68
14:36:08,1.68
14:36:14,1.69
14:36:20,1.7
14:36:26,1.69
14:36:32,1.7
14:36:38,1.69
14:36:44,1.71
14:36:50,1.68
14:36:56,1.69
14:37:02,1.68
14:37:08,1.7
14:37:14,1.7
14:37:20,1.71
14:37:26,1.69
14:37:32,1.69
14:37:38,1.69
14:37:44,1.7
14:37:50,1.69
14:37:56,1.7
14:38:02,1.69
14:38:08,1.69
14:38:14,1.69
14:38:20,1.7
14:38:26,1.69
14:38:32,1.71
14:38:38,1.69
14:38:44,1.7
14:38:50,1.69
14:38:56,1.68
14:39:02,1.69
14:39:08,1.68
14:39:14,1.69
14:39:20,1.71
14:39:26,1.69
14:39:32,1.7
14:39:38,1.68
14:39:44,1.69
14:39:50,1.7
14:39:56,1.69
14:40:02,1.68
14:40:08,1.67
14:40:14,1.69
14:40:20,1.7
14:40:26,1.69
