Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
14:07:00,8.65,8.78,24.25,20.53,20.63,24.75
14:07:01,7.91,8.02,24.25,20.09,20.28,24.5
14:07:02,7.91,8.06,24,20.98,21.08,24.75
14:07:03,7.91,7.99,24.5,20.98,21.08,24.75
14:07:04,7.91,7.99,24.5,19.64,19.83,24.5
14:07:05,7.91,8.06,24,20.08,20.18,24.75
14:07:06,7.91,8.02,24.25,19.24,19.33,24.75
14:07:07,8.65,8.86,23.75,19.64,20.12,23.75
14:07:08,7.17,7.24,24.5,19.64,19.64,25
14:07:09,7.91,8.02,24.25,19.64,19.92,24.25
14:07:10,8.65,8.78,24.25,19.25,19.81,23.5
14:07:11,7.17,7.27,24.25,18.8,19.07,24.25
14:07:12,7.91,8.06,24,18.8,19.07,24.25
14:07:13,7.91,7.99,24.5,19.25,19.43,24.5
14:07:14,7.17,7.31,24,19.25,19.43,24.5
14:07:15,7.18,7.28,24.25,18.8,19.07,24.25
14:07:16,7.91,8.02,24.25,18.8,18.89,24.75
14:07:17,6.44,6.53,24.25,19.64,19.92,24.25
14:07:19,7.91,8.02,24.25,18.8,19.07,24.25
14:07:19,7.91,8.02,24.25,18.35,18.44,24.75
14:07:20,6.44,6.53,24.25,18.8,19.07,24.25
14:07:21,7.18,7.25,24.5,18.8,19.07,24.25
14:07:22,7.91,8.06,24,19.25,19.34,24.75
14:07:23,8.64,8.76,24.25,19.25,19.72,23.75
14:07:24,7.18,7.32,24,18.35,18.62,24.25
14:07:25,7.18,7.28,24.25,18.35,18.62,24.25
14:07:26,7.91,8.02,24.25,19.25,19.53,24.25
14:07:27,7.91,7.99,24.5,17.9,18.16,24.25
14:07:28,7.17,7.24,24.5,17.46,17.63,24.5
14:07:29,6.44,6.53,24.25,18.8,19.16,24
14:07:30,7.91,8.06,24,17.46,17.71,24.25
14:07:31,7.91,8.02,24.25,17.46,17.71,24.25
14:07:32,7.17,7.27,24.25,17.91,18.26,24
14:07:33,8.65,8.82,24,18.36,18.72,24
14:07:34,7.18,7.35,23.75,18.8,19.16,24
14:07:35,6.44,6.56,24,17.46,17.63,24.5
14:07:36,8.65,8.73,24.5,17.91,18.17,24.25
14:07:37,6.44,6.53,24.25,17.91,18.08,24.5
14:07:38,6.44,6.56,24,17.46,17.71,24.25
14:07:39,7.91,8.02,24.25,17.91,18.08,24.5
14:07:39,7.91,8.06,24,17.01,17.17,24.5
14:07:40,7.91,8.02,24.25,17.46,17.71,24.25
14:07:41,7.18,7.32,24,18.35,18.62,24.25
14:07:42,7.17,7.31,24,17.47,17.64,24.5
14:07:43,7.91,8.06,24,17.47,17.72,24.25
14:07:44,7.18,7.28,24.25,17.46,17.8,24
14:07:45,7.18,7.28,24.25,18.35,18.44,24.75
14:07:46,7.91,7.99,24.5,17.47,17.72,24.25
14:07:47,7.91,8.02,24.25,17.47,17.55,24.75
14:07:48,7.91,8.06,24,18.36,18.54,24.5
14:07:49,8.65,8.78,24.25,17.91,18.17,24.25
14:07:50,7.91,7.99,24.5,17.46,17.71,24.25
14:07:51,9.39,9.57,24,17.46,17.63,24.5
14:07:52,7.18,7.28,24.25,19.64,19.92,24.25
14:07:53,8.65,8.78,24.25,18.81,18.99,24.5
14:07:54,8.65,8.82,24,18.36,18.72,24
14:07:55,7.91,8.06,24,18.36,18.63,24.25
14:07:56,7.18,7.25,24.5,17.46,17.71,24.25
14:07:57,7.18,7.32,24,17.01,17.26,24.25
14:07:58,7.18,7.28,24.25,17.91,18.17,24.25
14:07:59,7.91,8.1,23.75,17.91,18.26,24
14:08:00,7.91,7.99,24.5,17.46,17.54,24.75
14:08:01,8.65,8.73,24.5,16.62,16.94,24
14:08:02,7.18,7.28,24.25,17.46,17.54,24.75
14:08:03,7.18,7.32,24,17.46,17.63,24.5
14:08:04,7.18,7.32,24,17.02,17.18,24.5
14:08:05,8.65,8.78,24.25,17.01,17.26,24.25
14:08:06,7.92,8.03,24.25,17.01,17.17,24.5
14:08:07,7.18,7.28,24.25,17.01,17.17,24.5
14:08:08,7.92,8.03,24.25,17.46,17.71,24.25
14:08:09,7.92,8.03,24.25,17.47,17.81,24
14:08:10,7.18,7.25,24.5,16.62,16.78,24.5
14:08:11,7.92,8.07,24,16.62,16.78,24.5
14:08:12,8.65,8.78,24.25,17.01,17.42,23.75
14:08:13,8.65,8.78,24.25,17.02,17.27,24.25
14:08:14,9.38,9.47,24.5,16.62,16.94,24
14:08:15,7.92,8,24.5,17.46,17.63,24.5
14:08:16,7.92,8,24.5,17.02,17.35,24
14:08:17,8.65,8.73,24.5,17.01,17.26,24.25
14:08:18,7.91,8.02,24.25,17.02,17.18,24.5
14:08:19,8.65,8.82,24,17.01,17.26,24.25
14:08:20,7.92,8.03,24.25,16.62,16.86,24.25
14:08:21,8.65,8.78,24.25,16.62,16.78,24.5
14:08:22,7.18,7.25,24.5,17.01,17.17,24.5
14:08:22,7.92,8.11,23.75,16.18,16.34,24.5
14:08:23,8.65,8.78,24.25,16.62,16.7,24.75
14:08:34,7.92,8.03,24.25,0,0,24.5
14:08:47,8.65,8.86,23.75,0,0,24.25
14:08:53,7.92,8.07,24,15.73,15.96,24.25
14:08:55,8.66,8.79,24.25,16.17,16.25,24.75
14:08:57,7.92,8.07,24,16.62,16.7,24.75
14:08:59,8.65,8.78,24.25,17.45,17.53,24.75
14:09:01,11.5,11.67,24.25,16.17,16.4,24.25
14:09:02,0,0,24.25,17.01,17.26,24.25
14:09:04,0,0,24,16.62,16.7,24.75
14:09:04,0,0,24.25,17.01,17.34,24
14:09:06,0,0,24.25,15.73,15.88,24.5
14:09:08,0,0,24.25,17.01,17.09,24.75
14:09:10,0,0,24,17.01,17.01,25
14:09:11,0.39,0.4,24.25,17.45,17.7,24.25
14:09:13,0,0,24.25,16.62,16.86,24.25
14:09:14,9.39,9.48,24.5,17.01,17.17,24.5
14:09:15,9.39,9.53,24.25,17.45,17.7,24.25
14:09:16,8.66,8.83,24,16.62,16.94,24
14:09:17,9.39,9.53,24.25,17.01,17.26,24.25
14:09:18,9.39,9.48,24.5,16.62,16.94,24
14:09:19,9.39,9.48,24.5,16.17,16.33,24.5
14:09:20,10.03,10.22,24,16.62,16.78,24.5
14:09:21,11.5,11.61,24.5,17,17.33,24
14:09:22,8.66,8.83,24,16.17,16.4,24.25
14:09:23,7.18,7.43,23.25,16.61,16.77,24.5
14:09:24,12.24,12.42,24.25,17.01,17.34,24
14:09:25,12.99,13.18,24.25,16.61,16.77,24.5
14:09:26,12.98,13.17,24.25,15.73,15.96,24.25
14:09:27,12.98,13.23,24,16.61,16.85,24.25
14:09:28,12.24,12.42,24.25,17,17.16,24.5
14:09:29,12.25,12.49,24,15.73,15.88,24.5
14:09:30,15.1,15.24,24.5,16.61,16.77,24.5
14:09:31,13.73,13.93,24.25,16.61,16.93,24
14:09:32,13.73,14.06,23.75,15.72,15.87,24.5
14:09:33,14.36,14.64,24,17.01,17.17,24.5
14:09:34,14.37,14.79,23.5,16.17,16.4,24.25
14:09:35,12.99,13.18,24.25,16.62,16.94,24
14:09:36,12.99,13.18,24.25,17,17.16,24.5
14:09:37,13.72,13.85,24.5,16.61,16.85,24.25
14:09:38,12.99,13.24,24,17.01,17.26,24.25
14:09:39,12.98,13.17,24.25,16.61,16.85,24.25
14:09:40,12.98,13.23,24,17,17.25,24.25
14:09:41,13.72,13.85,24.5,15.72,15.95,24.25
14:09:42,12.99,13.18,24.25,15.72,15.87,24.5
14:09:43,12.25,12.49,24,16.62,16.86,24.25
14:09:44,12.98,13.3,23.75,16.17,16.48,24
14:09:45,12.98,13.3,23.75,16.17,16.48,24
14:09:46,12.98,13.1,24.5,17,17.25,24.25
14:09:47,13.72,13.92,24.25,16.61,16.77,24.5
14:09:47,12.98,13.23,24,16.61,16.69,24.75
14:09:48,12.99,13.24,24,16.62,16.94,24
14:09:49,12.99,13.31,23.75,16.62,16.86,24.25
14:09:50,13.72,13.85,24.5,16.61,16.85,24.25
14:09:51,12.25,12.43,24.25,16.62,16.78,24.5
14:09:52,13.72,13.92,24.25,16.61,16.85,24.25
14:09:53,12.25,12.43,24.25,16.62,16.94,24
14:09:54,12.25,12.55,23.75,16.62,16.86,24.25
14:09:55,12.24,12.48,24,16.61,16.93,24
14:09:56,12.24,12.42,24.25,16.61,16.85,24.25
14:09:57,13.72,13.99,24,16.17,16.33,24.5
14:09:58,12.99,13.18,24.25,16.62,16.86,24.25
14:09:59,12.25,12.43,24.25,16.17,16.33,24.5
14:10:00,12.25,12.43,24.25,16.61,16.85,24.25
14:10:01,12.24,12.42,24.25,16.61,16.85,24.25
14:10:02,13.72,13.85,24.5,16.17,16.4,24.25
14:10:03,12.25,12.37,24.5,15.72,15.8,24.75
14:10:04,12.25,12.55,23.75,17.01,17.09,24.75
14:10:05,12.99,13.18,24.25,16.61,16.85,24.25
14:10:06,13.72,14.05,23.75,16.61,16.85,24.25
14:10:07,13.72,13.92,24.25,17,17.25,24.25
14:10:08,12.25,12.49,24,17,17.25,24.25
14:10:09,12.24,12.48,24,16.17,16.4,24.25
14:10:10,12.98,13.17,24.25,15.73,15.96,24.25
14:10:11,13.71,13.91,24.25,17,17.25,24.25
14:10:12,12.25,12.37,24.5,16.62,16.94,24
14:10:13,12.98,13.17,24.25,16.61,16.85,24.25
14:10:14,12.98,13.17,24.25,17,17.16,24.5
14:10:15,13.72,14.19,23.25,17.45,17.7,24.25
14:10:16,12.98,13.1,24.5,16.17,16.4,24.25
14:10:17,12.25,12.49,24,16.62,16.86,24.25
14:10:18,15.09,15.31,24.25,17.9,18.25,24
14:10:19,12.24,12.48,24,17.01,17.26,24.25
14:10:20,12.97,13.16,24.25,17.01,17.26,24.25
14:10:21,12.98,13.17,24.25,17,17.25,24.25
14:10:22,13.71,13.91,24.25,16.62,16.86,24.25
14:10:23,12.24,12.42,24.25,17.01,17.34,24
14:10:24,14.36,14.64,24,17,17.33,24
14:10:25,13.72,13.92,24.25,17.45,17.79,24
14:10:26,12.25,12.43,24.25,17.9,18.07,24.5
14:10:27,13.7,13.9,24.25,15.73,15.96,24.25
14:10:28,14.34,14.55,24.25,16.61,16.77,24.5
14:10:29,10.05,10.2,24.25,15.28,15.43,24.5
14:10:30,15.08,15.52,23.5,16.61,16.85,24.25
14:10:31,11.51,11.73,24,17.01,17.34,24
14:10:31,12.97,13.29,23.75,17,17.41,23.75
14:10:32,10.78,11.04,23.75,18.33,18.51,24.5
14:10:33,11.51,11.56,24.75,16.62,16.94,24
14:10:34,15.09,15.23,24.5,16.62,16.94,24
14:10:35,12.24,12.48,24,17,17.16,24.5
14:10:36,13.72,13.85,24.5,16.61,16.69,24.75
14:10:37,12.98,13.23,24,16.61,16.85,24.25
14:10:38,12.98,13.23,24,16.62,16.86,24.25
14:10:39,12.98,13.17,24.25,17,17.16,24.5
14:10:40,12.98,13.1,24.5,17,17.33,24
14:10:41,12.97,13.09,24.5,17.46,17.8,24
14:10:42,13.71,13.91,24.25,18.34,18.79,23.75
14:10:43,10.04,10.19,24.25,17,17.16,24.5
14:10:44,15.08,15.37,24,19.22,19.4,24.5
14:10:45,13.72,13.85,24.5,17.02,17.1,24.75
14:10:46,17.96,18.4,23.75,18.81,18.99,24.5
14:10:47,23.05,23.5,24,21.45,21.87,24
14:10:48,25.89,26.39,24,25.34,25.71,24.25
14:10:49,27.37,27.63,24.5,26.24,26.49,24.5
14:10:50,25.9,26.4,24,27.09,27.61,24
14:10:51,24.52,24.87,24.25,26.64,26.9,24.5
14:10:52,23.05,23.61,23.75,25.37,25.86,24
14:10:53,25.22,25.71,24,25.79,26.04,24.5
14:10:54,23.76,24.1,24.25,23.18,23.63,24
14:10:55,25.84,26.47,23.75,25.77,26.14,24.25
14:10:56,20.92,21.22,24.25,24.9,25.14,24.5
14:10:57,20.9,21.2,24.25,22.72,22.83,24.75
14:10:58,20.9,21.2,24.25,22.27,22.38,24.75
14:10:59,21.53,21.95,24,23.6,23.94,24.25
14:11:00,17.97,18.32,24,23.59,23.93,24.25
14:11:01,18.71,18.89,24.5,22.27,22.7,24
14:11:02,16.6,16.92,24,22.3,22.62,24.25
14:11:03,18.69,19.05,24,24.47,24.7,24.5
14:11:04,15.86,16.17,24,19.65,19.93,24.25
14:11:05,19.41,19.69,24.25,20.54,20.84,24.25
14:11:06,18.67,18.94,24.25,20.97,21.17,24.5
14:11:07,17.94,18.29,24,19.65,19.93,24.25
14:11:08,18.67,18.94,24.25,20.52,20.72,24.5
14:11:09,16.58,16.9,24,20.97,21.17,24.5
14:11:10,17.98,18.15,24.5,20.97,21.07,24.75
14:11:11,41.01,41.6,24.25,28.83,29.11,24.5
14:11:12,53.29,54.32,24,41.17,41.77,24.25
14:11:13,54.76,55.55,24.25,49.09,49.56,24.5
14:11:14,44.67,45.32,24.25,53.87,54.65,24.25
14:11:14,32.44,32.91,24.25,45.04,45.47,24.5
14:11:15,25.24,25.73,24,34.54,34.7,24.75
14:11:16,20.92,21.22,24.25,28,28.4,24.25
14:11:21,20.15,20.44,24.25,25.8,26.05,24.5
14:11:21,17.95,18.3,24,22.72,23.05,24.25
14:11:21,15.84,16.3,23.5,20.98,21.18,24.5
14:11:21,16.58,16.9,24,20.08,20.37,24.25
14:11:21,15.83,16.14,24,19.63,19.72,24.75
14:11:22,15.09,15.23,24.5,19.24,19.52,24.25
14:11:23,13.71,13.84,24.5,17.91,18.17,24.25
14:11:24,15.09,15.31,24.25,18.79,19.06,24.25
14:11:25,12.25,12.49,24,16.16,16.39,24.25
14:11:26,15.09,15.31,24.25,17.45,17.79,24
14:11:27,13.71,13.98,24,17.9,18.07,24.5
14:11:28,13.71,13.91,24.25,18.35,18.53,24.5
14:11:29,12.24,12.42,24.25,18.35,18.62,24.25
14:11:30,12.97,13.16,24.25,17.45,17.62,24.5
14:11:31,14.35,14.63,24,17.9,18.25,24
14:11:32,12.98,13.23,24,16.62,16.78,24.5
14:11:33,14.36,14.64,24,17.45,17.7,24.25
14:11:34,13.72,14.05,23.75,17.45,17.62,24.5
14:11:35,12.99,13.18,24.25,17.01,17.26,24.25
14:11:36,15.1,15.32,24.25,17.46,17.71,24.25
14:11:37,5.8,5.88,24.25,17.01,17.26,24.25
14:11:38,43.25,44.09,24,16.62,16.86,24.25
14:11:39,46.87,47.55,24.25,7.44,7.48,24.75
14:11:40,51.88,52.63,24.25,49.93,50.65,24.25
14:11:41,51.98,52.99,24,54.71,55.5,24.25
14:11:42,55.57,56.92,23.75,56.13,56.94,24.25
14:11:43,59.84,61.6,23.5,57.48,58.31,24.25
14:11:44,61.31,62.2,24.25,64.36,64.98,24.5
14:11:45,62.81,63.72,24.25,64.91,66.17,24
14:11:46,67.67,68.98,24,67.13,67.77,24.5
14:11:47,67.21,68.51,24,72.34,73.03,24.5
14:11:48,67.89,68.87,24.25,73.69,74.76,24.25
14:11:49,71.53,72.56,24.25,76.28,77.76,24
14:11:50,75.2,76.29,24.25,76.43,77.53,24.25
14:11:51,77.23,78.73,24,78.64,79.39,24.5
14:11:53,79.35,81.68,23.5,80.37,81.53,24.25
14:11:53,80.83,82,24.25,84.68,86.32,24
14:11:54,80.2,82.15,23.75,83.92,85.96,23.75
14:11:55,85.17,86.4,24.25,84.39,85.61,24.25
14:11:56,87.97,89.67,24,87.42,88.26,24.5
14:11:57,88.76,90.04,24.25,88.77,90.05,24.25
14:11:57,88.14,89.41,24.25,90.52,92.27,24
14:11:58,89.64,91.38,24,92.21,93.54,24.25
14:11:59,89.68,91.42,24,92.71,94.05,24.25
14:12:00,91.06,92.38,24.25,93.6,94.95,24.25
14:12:01,92.46,93.8,24.25,94.08,94.98,24.5
14:12:02,92.5,93.39,24.5,94.86,96.23,24.25
14:12:03,93.96,95.78,24,96.2,97.12,24.5
14:12:04,94.67,96.04,24.25,94.96,96.33,24.25
14:12:05,96.05,97.44,24.25,97.51,98.92,24.25
14:12:07,92.59,93.48,24.5,97.12,98.52,24.25
14:12:07,94.03,95.39,24.25,97.13,98.53,24.25
14:12:08,93.3,94.65,24.25,97.61,99.02,24.25
14:12:09,96.07,97.93,24,98.03,98.97,24.5
14:12:10,94.06,95.42,24.25,97.21,98.14,24.5
14:12:11,97.48,98.41,24.5,97.63,98.57,24.5
14:12:12,96.78,98.65,24,99.22,100.65,24.25
14:12:13,94.09,95.91,24,99.69,101.13,24.25
14:12:14,94.1,95.92,24,98.89,100.32,24.25
14:12:15,96.8,97.26,24.75,101,102.46,24.25
14:12:16,94.75,96.12,24.25,99.28,100.23,24.5
14:12:17,95.47,96.85,24.25,100.6,101.56,24.5
14:12:18,95.5,97.35,24,97.13,98.06,24.5
14:12:19,98.22,99.64,24.25,100.6,102.55,24
14:12:20,94.83,96.2,24.25,101.5,102.47,24.5
14:12:21,96.14,97.53,24.25,99.36,101.28,24
14:12:22,98.9,100.82,24,98.99,100.42,24.25
14:12:23,99.67,101.6,24,98.99,99.94,24.5
14:12:24,97.65,99.06,24.25,100.2,101.65,24.25
14:12:25,97.58,98.99,24.25,100.7,102.16,24.25
14:12:26,98.94,100.37,24.25,99,100.43,24.25
14:12:27,98.95,100.38,24.25,99.38,102.3,23.5
14:12:28,98.94,100.37,24.25,101.9,103.37,24.25
14:12:29,98.33,99.75,24.25,99.35,100.3,24.5
14:12:30,98.4,99.82,24.25,100.2,100.68,24.75
14:12:31,99.73,101.17,24.25,101.5,102.97,24.25
14:12:32,98.4,99.82,24.25,100.7,101.18,24.75
14:12:33,98.42,100.33,24,100.7,102.16,24.25
14:12:34,97.73,100.11,23.75,102.7,104.18,24.25
14:12:35,99.06,100.01,24.5,101.5,103.47,24
14:12:36,98.44,99.86,24.25,100.3,101.75,24.25
14:12:37,101.1,103.06,24,101.9,103.37,24.25
14:12:38,98.36,99.78,24.25,101.9,103.37,24.25
14:12:39,99.06,100.49,24.25,101.5,102.97,24.25
14:12:40,99.03,101.44,23.75,101.5,102.47,24.5
14:12:41,99.75,101.68,24,102,104.48,23.75
14:12:41,100.5,102.94,23.75,101.2,102.66,24.25
14:12:42,99.77,102.2,23.75,102,102.98,24.5
14:12:43,99.8,101.24,24.25,102.4,103.38,24.5
14:12:44,99.03,100.46,24.25,101.9,102.39,24.75
14:12:45,98.38,100.29,24,101.5,102.97,24.25
14:12:46,101.2,102.66,24.25,102,103.47,24.25
14:12:47,101.2,102.17,24.5,100.7,102.16,24.25
14:12:48,101.2,102.66,24.25,102,103.98,24
14:12:49,99.76,101.2,24.25,100.7,101.67,24.5
14:12:50,99.79,101.23,24.25,102,103.47,24.25
14:12:51,98.49,99.91,24.25,102.4,102.89,24.75
14:12:52,98.45,99.87,24.25,102.4,103.88,24.25
14:12:53,99.85,100.33,24.75,102,102.98,24.5
14:12:54,100.5,101.95,24.25,102.4,103.38,24.5
14:12:55,101.3,102.76,24.25,101.5,102.47,24.5
14:12:56,101.3,102.76,24.25,102,103.47,24.25
14:12:57,100.5,101.95,24.25,101.5,102.97,24.25
14:12:58,99.78,101.22,24.25,101.9,103.87,24
14:12:59,99.82,101.26,24.25,102.4,103.88,24.25
14:13:00,100.5,101.46,24.5,102.4,103.38,24.5
14:13:01,100.5,102.94,23.75,102.8,103.79,24.5
14:13:02,100.5,101.95,24.25,103.3,104.79,24.25
14:13:03,100.5,101.95,24.25,101.9,103.37,24.25
14:13:04,98.39,99.81,24.25,102,102.49,24.75
14:13:05,102,103.47,24.25,102.4,103.88,24.25
14:13:06,102,103.98,24,101.5,101.5,25
14:13:07,103.3,105.3,24,102.4,103.38,24.5
14:13:08,102.6,104.59,24,102.8,103.79,24.5
14:13:09,103.4,105.4,24,102.4,103.88,24.25
14:13:10,103.3,105.3,24,102.8,104.79,24
14:13:11,102,103.47,24.25,102.8,103.79,24.5
14:13:12,103.4,105.92,23.75,104,105,24.5
14:13:13,102,103.98,24,101.9,102.88,24.5
14:13:14,101.3,103.26,24,104,104.5,24.75
14:13:15,102.1,103.58,24.25,102.8,103.79,24.5
14:13:16,103.3,105.81,23.75,102,103.47,24.25
14:13:17,104.7,106.21,24.25,104.9,105.4,24.75
14:13:18,103.4,105.4,24,104.9,106.42,24.25
14:13:19,102.7,104.18,24.25,102.8,103.79,24.5
14:13:20,102.1,103.08,24.5,103.3,104.79,24.25
14:13:21,103.4,104.39,24.5,102.8,104.29,24.25
14:13:22,104.1,105.6,24.25,102.9,103.89,24.5
14:13:23,103.4,105.92,23.75,102.8,103.79,24.5
14:13:24,104.1,106.12,24,103.3,104.29,24.5
14:13:24,102.7,103.69,24.5,103.7,105.2,24.25
14:13:25,103.4,104.89,24.25,102.4,103.88,24.25
14:13:26,102,102.98,24.5,103.7,105.2,24.25
14:13:27,102,103.47,24.25,102.9,104.39,24.25
14:13:28,102,103.98,24,102.8,103.79,24.5
14:13:29,101.3,102.27,24.5,102,103.47,24.25
14:13:30,102,104.99,23.5,102.4,103.88,24.25
14:13:31,102.6,103.58,24.5,103.3,105.3,24
14:13:32,101.3,102.76,24.25,103.3,104.29,24.5
14:13:33,101.3,103.76,23.75,102.4,103.88,24.25
14:13:34,101.3,102.27,24.5,102.4,102.89,24.75
14:13:35,102,103.47,24.25,103.3,104.79,24.25
14:13:36,102.7,104.18,24.25,102.8,104.29,24.25
14:13:37,101.2,102.66,24.25,103.7,105.2,24.25
14:13:38,102,103.47,24.25,102.8,105.3,23.75
14:13:39,104.8,106.83,24,102.8,103.29,24.75
14:13:40,101.3,102.76,24.25,102.8,104.29,24.25
14:13:41,102,103.47,24.25,102,103.47,24.25
14:13:42,103.3,105.3,24,102,103.47,24.25
14:13:43,104,105.5,24.25,102.4,103.88,24.25
14:13:44,102,103.47,24.25,102,102.98,24.5
14:13:45,103.3,104.79,24.25,102.8,103.29,24.75
14:13:46,102,103.98,24,102.4,103.88,24.25
14:13:47,102.7,104.18,24.25,103.3,104.29,24.5
14:13:48,102.6,104.08,24.25,103.3,104.29,24.5
14:13:49,102.6,104.08,24.25,102.4,102.89,24.75
14:13:50,104.1,105.1,24.5,102.4,103.88,24.25
14:13:51,102,103.47,24.25,102.8,103.79,24.5
14:13:52,103.4,104.39,24.5,102.8,103.79,24.5
14:13:53,103.4,104.39,24.5,103.3,104.29,24.5
14:13:54,104.1,106.12,24,102.8,103.29,24.75
14:13:55,103.3,104.79,24.25,103.3,104.29,24.5
14:13:56,104.1,105.6,24.25,102.8,104.29,24.25
14:13:57,104.1,105.6,24.25,102.4,103.38,24.5
14:13:58,105.6,107.13,24.25,102.8,104.29,24.25
14:13:59,104.9,106.42,24.25,103.3,103.79,24.75
14:14:00,101.9,102.88,24.5,103.3,104.29,24.5
14:14:01,102.6,103.58,24.5,102.8,102.8,25
14:14:02,104.1,105.6,24.25,102.8,104.79,24
14:14:03,104.8,106.31,24.25,102.8,105.3,23.75
14:14:04,102.7,104.18,24.25,102.4,102.89,24.75
14:14:05,102.6,104.08,24.25,102.4,103.38,24.5
14:14:06,101.2,101.68,24.75,101.9,103.37,24.25
14:14:07,101.2,102.66,24.25,101.5,102.47,24.5
14:14:08,101.2,103.16,24,101.9,103.37,24.25
14:14:08,100.4,101.36,24.5,101.9,103.37,24.25
14:14:09,99.67,100.63,24.5,102.4,103.38,24.5
14:14:10,99.76,101.2,24.25,101.5,102.97,24.25
14:14:11,99.76,102.19,23.75,103.2,105.2,24
14:14:12,98.37,99.79,24.25,101.9,104.38,23.75
14:14:13,100.5,102.94,23.75,101.9,102.88,24.5
14:14:14,99.67,101.11,24.25,100.7,101.67,24.5
14:14:15,102.6,103.09,24.75,100.2,101.65,24.25
14:14:16,100.4,101.85,24.25,100.1,101.55,24.25
14:14:17,98.99,100.42,24.25,100.7,102.65,24
14:14:18,103.3,105.3,24,101.9,103.87,24
14:14:19,100.5,101.95,24.25,101.9,103.87,24
14:14:20,101.9,103.37,24.25,101.9,103.37,24.25
14:14:21,102.6,104.59,24,101.9,104.38,23.75
14:14:22,102.6,104.08,24.25,102.4,103.88,24.25
14:14:23,101.3,102.76,24.25,103.3,105.3,24
14:14:24,102,103.47,24.25,102.8,105.3,23.75
14:14:25,102.6,104.08,24.25,102.3,104.28,24
14:14:26,102.6,104.08,24.25,102.4,103.88,24.25
14:14:27,102,103.47,24.25,103.3,104.79,24.25
14:14:28,102,104.48,23.75,103.3,104.79,24.25
14:14:29,102.6,104.08,24.25,102.8,103.79,24.5
14:14:30,102.6,104.59,24,103.3,104.79,24.25
14:14:31,102,104.99,23.5,103.3,104.29,24.5
14:14:32,102.6,104.59,24,103.7,105.2,24.25
14:14:33,102,104.48,23.75,102.8,104.79,24
14:14:34,102.6,103.58,24.5,102.8,104.79,24
14:14:35,101.9,103.87,24,103.3,105.3,24
14:14:36,103.3,106.33,23.5,103.2,104.19,24.5
14:14:37,101.9,103.37,24.25,103.7,105.2,24.25
