Time,Conductivity,Temperature
114911,3.2,22
0,0,0
0,0,0
114913,3.2,22
0,0,0
0,0,0
114915,3.2,22
0,0,0
0,0,0
114917,3.2,22
0,0,0
0,0,0
114919,3.2,22
0,0,0
0,0,0
114921,3.3,22
0,0,0
0,0,0
114923,3.4,22
0,0,0
0,0,0
114925,3.4,22
0,0,0
0,0,0
114927,3.5,22
0,0,0
0,0,0
114929,3.5,22
0,0,0
0,0,0
114931,3.6,22
0,0,0
0,0,0
114933,3.6,22
0,0,0
0,0,0
114935,3.7,22
0,0,0
0,0,0
114937,3.7,22
0,0,0
0,0,0
114939,3.7,22
0,0,0
0,0,0
114941,3.8,22
0,0,0
0,0,0
114943,3.8,22
0,0,0
0,0,0
114945,3.8,22
0,0,0
0,0,0
114947,3.7,22
0,0,0
0,0,0
114949,3.7,22
0,0,0
0,0,0
114951,3.7,22
0,0,0
0,0,0
114953,3.6,22
0,0,0
0,0,0
114955,3.7,22
0,0,0
0,0,0
114957,3.7,22
0,0,0
0,0,0
114959,3.8,22
0,0,0
0,0,0
115001,3.8,22
0,0,0
0,0,0
115003,3.9,22
0,0,0
0,0,0
115005,3.9,22
0,0,0
0,0,0
115007,3.9,22
0,0,0
0,0,0
115009,3.9,22
0,0,0
0,0,0
115011,3.9,22
0,0,0
0,0,0
115013,3.9,22
0,0,0
0,0,0
115015,3.9,22
0,0,0
0,0,0
115017,3.9,22
0,0,0
0,0,0
115019,4,22
0,0,0
0,0,0
115021,4,22
0,0,0
0,0,0
115023,4,22
0,0,0
0,0,0
115025,4,22
0,0,0
0,0,0
115027,4,22
0,0,0
0,0,0
115029,4,22
0,0,0
0,0,0
115031,4,22
0,0,0
0,0,0
115033,4,22
0,0,0
0,0,0
115035,4,22
0,0,0
0,0,0
115037,4,22
0,0,0
0,0,0
115039,4,22
0,0,0
0,0,0
115041,4.1,22
0,0,0
0,0,0
115043,4.1,22
0,0,0
0,0,0
115045,4.1,22
0,0,0
0,0,0
115047,4.1,22
0,0,0
0,0,0
115049,4.1,22
0,0,0
0,0,0
115051,4.1,22
0,0,0
0,0,0
115053,4.1,22
0,0,0
0,0,0
115055,4.1,22
0,0,0
0,0,0
115057,4.1,22
0,0,0
0,0,0
115059,4.1,22
0,0,0
0,0,0
115101,4.1,22
0,0,0
0,0,0
115103,4.1,22
0,0,0
0,0,0
115105,4.1,22
0,0,0
0,0,0
115107,4.1,22
0,0,0
0,0,0
115109,4.2,22
0,0,0
0,0,0
115111,4.2,22
0,0,0
0,0,0
115113,4.2,22
0,0,0
0,0,0
115115,4.2,22
0,0,0
0,0,0
115117,4.2,22
0,0,0
0,0,0
115119,4.2,22.1
0,0,0
0,0,0
115121,4.2,22
0,0,0
0,0,0
115123,4.2,22
0,0,0
0,0,0
115125,4.2,22
0,0,0
0,0,0
115127,4.2,22
0,0,0
0,0,0
115129,4.2,22
0,0,0
0,0,0
115131,4.2,22
0,0,0
0,0,0
115133,4.2,22
0,0,0
0,0,0
115135,4.2,22
0,0,0
0,0,0
115137,4.2,22
0,0,0
0,0,0
115139,4.2,22
0,0,0
0,0,0
115141,4.3,22
0,0,0
0,0,0
115143,4.3,22.1
0,0,0
0,0,0
115145,4.2,22.1
0,0,0
0,0,0
115147,4.2,22
0,0,0
0,0,0
115149,4.2,22.1
0,0,0
0,0,0
115151,4.2,22.1
0,0,0
0,0,0
115153,4.2,22
0,0,0
0,0,0
115155,4.3,22
0,0,0
0,0,0
115157,4.3,22
0,0,0
0,0,0
115159,4.3,22.1
0,0,0
0,0,0
115201,23.6,22
0,0,0
0,0,0
115203,119.5,22
0,0,0
0,0,0
115205,187.7,22
0,0,0
0,0,0
115207,1.877,22
0,0,0
0,0,0
115209,0.247,22
0,0,0
0,0,0
115211,0.235,22
0,0,0
0,0,0
115213,0.291,21.9
0,0,0
0,0,0
115215,0.291,21.9
0,0,0
0,0,0
115217,0.315,21.9
0,0,0
0,0,0
115219,0.315,21.9
0,0,0
0,0,0
115221,0.316,21.9
0,0,0
0,0,0
115223,0.316,21.9
0,0,0
0,0,0
115225,0.297,21.9
0,0,0
0,0,0
115227,0.31,21.9
0,0,0
0,0,0
115229,0.31,22
0,0,0
0,0,0
115231,0.326,22
0,0,0
0,0,0
115233,0.326,22
0,0,0
0,0,0
115235,0.345,22
0,0,0
0,0,0
115237,0.347,22.1
0,0,0
0,0,0
115239,0.352,22.1
0,0,0
0,0,0
115241,0.358,22.1
0,0,0
0,0,0
115243,0.384,22.1
0,0,0
0,0,0
115245,0.384,22.1
0,0,0
0,0,0
115247,0.386,22.2
0,0,0
0,0,0
115249,0.389,22.2
0,0,0
0,0,0
115251,0.41,22.2
0,0,0
0,0,0
115253,0.412,22.3
0,0,0
0,0,0
115255,0.429,22.3
0,0,0
0,0,0
115257,0.431,22.3
0,0,0
0,0,0
115259,0.434,22.4
0,0,0
0,0,0
115301,0.439,22.4
0,0,0
0,0,0
115303,0.446,22.4
0,0,0
0,0,0
115305,0.453,22.4
0,0,0
0,0,0
115307,0.462,22.5
0,0,0
0,0,0
115309,0.462,22.5
0,0,0
0,0,0
115311,0.47,22.5
0,0,0
0,0,0
115313,0.478,22.5
0,0,0
0,0,0
115315,0.486,22.6
0,0,0
0,0,0
115317,0.493,22.6
0,0,0
0,0,0
115319,0.501,22.7
0,0,0
0,0,0
115321,0.508,22.7
0,0,0
0,0,0
115323,0.515,22.7
0,0,0
0,0,0
115325,0.521,22.8
0,0,0
0,0,0
115327,0.526,22.8
0,0,0
0,0,0
115329,0.531,22.8
0,0,0
0,0,0
115331,0.531,22.8
0,0,0
0,0,0
115333,0.536,22.9
0,0,0
0,0,0
115335,0.543,22.9
0,0,0
0,0,0
115337,0.551,22.9
0,0,0
0,0,0
115339,0.557,23
0,0,0
0,0,0
115341,0.562,23
0,0,0
0,0,0
115343,0.566,23
0,0,0
0,0,0
115345,0.57,23.1
0,0,0
0,0,0
115347,0.59,23.1
0,0,0
0,0,0
115349,0.59,23.1
0,0,0
0,0,0
115351,0.592,23.2
0,0,0
0,0,0
115353,0.595,23.2
0,0,0
0,0,0
115355,0.599,23.2
0,0,0
0,0,0
115357,0.604,23.3
0,0,0
0,0,0
115359,0.607,23.3
0,0,0
0,0,0
115401,0.611,23.3
0,0,0
0,0,0
115403,0.616,23.4
0,0,0
0,0,0
115405,0.621,23.4
0,0,0
0,0,0
115407,0.621,23.4
0,0,0
0,0,0
115409,0.627,23.4
0,0,0
0,0,0
115411,0.632,23.5
0,0,0
0,0,0
115413,0.65,23.5
0,0,0
0,0,0
115415,0.65,23.6
0,0,0
0,0,0
115417,0.651,23.6
0,0,0
0,0,0
115419,0.652,23.6
0,0,0
0,0,0
115421,0.655,23.6
0,0,0
0,0,0
115423,0.656,23.7
0,0,0
0,0,0
115425,0.678,23.7
0,0,0
0,0,0
115427,0.665,23.7
0,0,0
0,0,0
115429,0.665,23.8
0,0,0
0,0,0
115431,0.676,23.8
0,0,0
0,0,0
115433,0.676,23.9
0,0,0
0,0,0
115435,0.678,23.9
0,0,0
0,0,0
115437,0.681,23.9
0,0,0
0,0,0
115439,0.685,24
0,0,0
0,0,0
115441,0.689,24
0,0,0
0,0,0
115443,0.693,24
0,0,0
0,0,0
115445,0.71,24
0,0,0
0,0,0
115447,0.71,24.1
0,0,0
0,0,0
115449,0.71,24.1
0,0,0
0,0,0
115451,0.71,24.2
0,0,0
0,0,0
115453,0.723,24.2
0,0,0
0,0,0
115455,0.724,24.2
0,0,0
0,0,0
115457,0.726,24.3
0,0,0
0,0,0
115459,0.729,24.3
0,0,0
0,0,0
115501,0.731,24.4
0,0,0
0,0,0
115503,0.734,24.4
0,0,0
0,0,0
115505,0.734,24.4
0,0,0
0,0,0
115507,0.737,24.4
0,0,0
0,0,0
115509,0.74,24.5
0,0,0
0,0,0
115511,0.744,24.5
0,0,0
0,0,0
115513,0.749,24.6
0,0,0
0,0,0
115515,0.753,24.6
0,0,0
0,0,0
115517,0.756,24.6
0,0,0
0,0,0
115519,0.759,24.7
0,0,0
0,0,0
115521,0.762,24.7
0,0,0
0,0,0
115523,0.765,24.8
0,0,0
0,0,0
115525,0.768,24.8
0,0,0
0,0,0
115527,0.768,24.8
0,0,0
0,0,0
115529,0.771,24.8
0,0,0
0,0,0
115531,0.775,24.9
0,0,0
0,0,0
115533,0.777,24.9
0,0,0
0,0,0
115535,0.781,25
0,0,0
0,0,0
115537,0.784,25
0,0,0
0,0,0
115539,0.786,25
0,0,0
0,0,0
115541,0.79,25.1
0,0,0
0,0,0
115543,0.793,25.1
0,0,0
0,0,0
115545,0.793,25.1
0,0,0
0,0,0
115547,0.795,25.2
0,0,0
0,0,0
115549,0.798,25.2
0,0,0
0,0,0
115551,0.802,25.2
0,0,0
0,0,0
115553,0.805,25.3
0,0,0
0,0,0
115555,0.807,25.3
0,0,0
0,0,0
115557,0.811,25.4
0,0,0
0,0,0
115559,0.812,25.4
0,0,0
0,0,0
115601,0.814,25.4
0,0,0
0,0,0
115603,0.814,25.4
0,0,0
0,0,0
115605,0.817,25.5
0,0,0
0,0,0
115607,0.82,25.5
0,0,0
0,0,0
115609,0.823,25.6
0,0,0
0,0,0
115611,0.825,25.6
0,0,0
0,0,0
115613,0.827,25.7
0,0,0
0,0,0
115615,0.828,25.7
0,0,0
0,0,0
115617,0.829,25.7
0,0,0
0,0,0
115619,0.833,25.8
0,0,0
0,0,0
115621,0.835,25.8
0,0,0
0,0,0
115623,0.837,25.8
0,0,0
0,0,0
115625,0.839,25.9
0,0,0
0,0,0
115627,0.839,25.9
0,0,0
0,0,0
115629,0.839,25.9
0,0,0
0,0,0
115631,0.841,26
0,0,0
0,0,0
115633,0.842,26
0,0,0
0,0,0
115635,0.845,26.1
0,0,0
0,0,0
115637,0.848,26.1
0,0,0
0,0,0
115639,0.85,26.1
0,0,0
0,0,0
115641,0.853,26.1
0,0,0
0,0,0
115643,0.853,26.2
0,0,0
0,0,0
115645,0.854,26.2
0,0,0
0,0,0
115647,0.857,26.3
0,0,0
0,0,0
115649,0.858,26.3
0,0,0
0,0,0
115651,0.859,26.3
0,0,0
0,0,0
115653,0.861,26.4
0,0,0
0,0,0
115655,0.862,26.4
0,0,0
0,0,0
115657,0.865,26.5
0,0,0
0,0,0
115659,0.867,26.5
0,0,0
0,0,0
115701,0.867,26.5
0,0,0
0,0,0
115703,0.868,26.6
0,0,0
0,0,0
115705,0.87,26.6
0,0,0
0,0,0
115707,0.871,26.6
0,0,0
0,0,0
115709,0.874,26.7
0,0,0
0,0,0
115711,0.875,26.7
0,0,0
0,0,0
115713,0.878,26.8
0,0,0
0,0,0
115715,0.879,26.8
0,0,0
0,0,0
115717,0.881,26.8
0,0,0
0,0,0
115719,0.882,26.9
0,0,0
0,0,0
115721,0.884,26.9
0,0,0
0,0,0
115723,0.887,26.9
0,0,0
0,0,0
115725,0.887,27
0,0,0
0,0,0
115727,0.889,27
0,0,0
0,0,0
115729,0.892,27
0,0,0
0,0,0
115731,0.894,27.1
0,0,0
0,0,0
115733,0.896,27.1
0,0,0
0,0,0
115735,0.897,27.2
0,0,0
0,0,0
115737,0.899,27.2
0,0,0
0,0,0
115739,0.902,27.2
0,0,0
0,0,0
115741,0.904,27.3
0,0,0
0,0,0
115743,0.908,27.3
0,0,0
0,0,0
115745,0.91,27.3
0,0,0
0,0,0
115747,0.91,27.4
0,0,0
0,0,0
115749,0.913,27.4
0,0,0
0,0,0
115751,0.917,27.5
0,0,0
0,0,0
115753,0.92,27.5
0,0,0
0,0,0
115755,0.923,27.5
0,0,0
0,0,0
115757,0.925,27.6
0,0,0
0,0,0
115759,0.927,27.6
0,0,0
0,0,0
115801,0.93,27.7
0,0,0
0,0,0
115803,0.934,27.7
0,0,0
0,0,0
115805,0.934,27.7
0,0,0
0,0,0
115807,0.937,27.8
0,0,0
0,0,0
115809,0.941,27.8
0,0,0
0,0,0
115811,0.943,27.8
0,0,0
0,0,0
115813,0.946,27.9
0,0,0
0,0,0
115815,0.948,27.9
0,0,0
0,0,0
115817,0.951,28
0,0,0
0,0,0
115819,0.953,28
0,0,0
0,0,0
115821,0.956,28
0,0,0
0,0,0
115823,0.956,28.1
0,0,0
0,0,0
115825,0.958,28.1
0,0,0
0,0,0
115827,0.96,28.2
0,0,0
0,0,0
115829,0.962,28.2
0,0,0
0,0,0
115831,0.965,28.2
0,0,0
0,0,0
115833,0.968,28.3
0,0,0
0,0,0
115835,0.972,28.3
0,0,0
0,0,0
115837,0.975,28.3
0,0,0
0,0,0
115839,0.978,28.4
0,0,0
0,0,0
115841,0.98,28.4
0,0,0
0,0,0
115843,0.982,28.5
0,0,0
0,0,0
115845,0.982,28.5
0,0,0
0,0,0
115847,0.985,28.5
0,0,0
0,0,0
115849,0.988,28.6
0,0,0
0,0,0
115851,0.991,28.6
0,0,0
0,0,0
115853,0.994,28.7
0,0,0
0,0,0
115855,0.997,28.7
0,0,0
0,0,0
115857,0.998,28.8
0,0,0
0,0,0
115859,1.001,28.8
0,0,0
0,0,0
115901,1.003,28.8
0,0,0
0,0,0
115903,1.003,28.9
0,0,0
0,0,0
115905,1.005,28.9
0,0,0
0,0,0
115907,1.008,29
0,0,0
0,0,0
115909,1.009,29
0,0,0
0,0,0
115911,1.011,29
0,0,0
0,0,0
115913,1.013,29.1
0,0,0
0,0,0
115915,1.015,29.1
0,0,0
0,0,0
115917,1.018,29.2
0,0,0
0,0,0
115919,1.018,29.2
0,0,0
0,0,0
115921,1.018,29.2
0,0,0
0,0,0
115923,1.02,29.3
0,0,0
0,0,0
115925,1.02,29.3
0,0,0
0,0,0
115927,1.021,29.4
0,0,0
0,0,0
115929,1.022,29.4
0,0,0
0,0,0
115931,1.023,29.4
0,0,0
0,0,0
115933,1.026,29.5
0,0,0
0,0,0
115935,1.028,29.5
0,0,0
0,0,0
115937,1.029,29.6
0,0,0
0,0,0
115939,1.031,29.6
0,0,0
0,0,0
115941,1.031,29.6
0,0,0
0,0,0
115943,1.031,29.7
0,0,0
0,0,0
115945,1.031,29.7
0,0,0
0,0,0
115947,1.033,29.8
0,0,0
0,0,0
115949,1.034,29.8
0,0,0
0,0,0
115951,1.036,29.8
0,0,0
0,0,0
115953,1.038,29.9
0,0,0
0,0,0
115955,1.039,29.9
0,0,0
0,0,0
115957,1.042,30
0,0,0
0,0,0
115959,1.043,30
0,0,0
0,0,0
120001,1.043,30
0,0,0
0,0,0
120003,1.045,30.1
0,0,0
0,0,0
120005,1.046,30.1
0,0,0
0,0,0
120007,1.047,30.2
0,0,0
0,0,0
120009,1.049,30.2
0,0,0
0,0,0
120011,1.049,30.2
0,0,0
0,0,0
120013,1.051,30.3
0,0,0
0,0,0
120015,1.052,30.3
0,0,0
0,0,0
120017,1.054,30.3
0,0,0
0,0,0
120019,1.054,30.4
0,0,0
0,0,0
120021,1.055,30.4
0,0,0
0,0,0
120023,1.057,30.5
0,0,0
0,0,0
120025,1.058,30.5
0,0,0
0,0,0
120027,1.059,30.6
0,0,0
0,0,0
120029,1.06,30.6
0,0,0
0,0,0
120031,1.061,30.6
0,0,0
0,0,0
120033,1.061,30.7
0,0,0
0,0,0
120035,1.062,30.7
0,0,0
0,0,0
120037,1.062,30.8
0,0,0
0,0,0
120039,1.063,30.8
0,0,0
0,0,0
120041,1.064,30.8
0,0,0
0,0,0
120043,1.064,30.9
0,0,0
0,0,0
120045,1.065,30.9
0,0,0
0,0,0
120047,1.067,30.9
0,0,0
0,0,0
120049,1.068,31
0,0,0
0,0,0
120051,1.069,31
0,0,0
0,0,0
120053,1.07,31.1
0,0,0
0,0,0
120055,1.07,31.1
0,0,0
0,0,0
120057,1.07,31.1
0,0,0
0,0,0
120059,1.07,31.2
0,0,0
0,0,0
120101,1.071,31.2
0,0,0
0,0,0
120103,1.071,31.3
0,0,0
0,0,0
120105,1.072,31.3
0,0,0
0,0,0
120107,1.073,31.3
0,0,0
0,0,0
120109,1.074,31.4
0,0,0
0,0,0
120111,1.075,31.4
0,0,0
0,0,0
120113,1.076,31.5
0,0,0
0,0,0
120115,1.077,31.5
0,0,0
0,0,0
120117,1.077,31.5
0,0,0
0,0,0
120119,1.078,31.6
0,0,0
0,0,0
120121,1.079,31.6
0,0,0
0,0,0
120123,1.079,31.6
0,0,0
0,0,0
120125,1.079,31.7
0,0,0
0,0,0
120127,1.079,31.7
0,0,0
0,0,0
120129,1.08,31.8
0,0,0
0,0,0
120131,1.08,31.8
0,0,0
0,0,0
120133,1.081,31.8
0,0,0
0,0,0
120135,1.082,31.9
0,0,0
0,0,0
120137,1.081,31.9
0,0,0
0,0,0
120139,1.082,31.9
0,0,0
0,0,0
120141,1.082,32
0,0,0
0,0,0
120143,1.082,32
0,0,0
0,0,0
120145,1.083,32.1
0,0,0
0,0,0
120147,1.083,32.1
0,0,0
0,0,0
120149,1.083,32.1
0,0,0
0,0,0
120151,1.084,32.2
0,0,0
0,0,0
120153,1.084,32.2
0,0,0
0,0,0
120155,1.086,32.2
0,0,0
0,0,0
120157,1.086,32.3
0,0,0
0,0,0
120159,1.086,32.3
0,0,0
0,0,0
120201,1.086,32.3
0,0,0
0,0,0
120203,1.086,32.4
0,0,0
0,0,0
120205,1.085,32.4
0,0,0
0,0,0
120207,1.086,32.5
0,0,0
0,0,0
120209,1.086,32.5
0,0,0
0,0,0
120211,1.087,32.5
0,0,0
0,0,0
120213,1.089,32.6
0,0,0
0,0,0
120215,1.09,32.6
0,0,0
0,0,0
120217,1.091,32.7
0,0,0
0,0,0
120219,1.092,32.7
0,0,0
0,0,0
120221,1.092,32.7
0,0,0
0,0,0
120223,1.092,32.8
0,0,0
0,0,0
120225,1.092,32.8
0,0,0
0,0,0
120227,1.091,32.8
0,0,0
0,0,0
120229,1.092,32.9
0,0,0
0,0,0
120231,1.091,32.9
0,0,0
0,0,0
120233,1.091,32.9
0,0,0
0,0,0
120235,1.091,32.9
0,0,0
0,0,0
120237,1.09,33
0,0,0
0,0,0
120239,1.09,33
0,0,0
0,0,0
120241,1.09,33.1
0,0,0
0,0,0
120243,1.09,33.1
0,0,0
0,0,0
120245,1.091,33.1
0,0,0
0,0,0
120247,1.092,33.2
0,0,0
0,0,0
120249,1.092,33.2
0,0,0
0,0,0
120251,1.093,33.3
0,0,0
0,0,0
120253,1.092,33.3
0,0,0
0,0,0
120255,1.092,33.3
0,0,0
0,0,0
120257,1.092,33.3
0,0,0
0,0,0
120259,1.091,33.4
0,0,0
0,0,0
120301,1.091,33.4
0,0,0
0,0,0
120303,1.092,33.5
0,0,0
0,0,0
120305,1.091,33.5
0,0,0
0,0,0
120307,1.092,33.5
0,0,0
0,0,0
120309,1.093,33.6
0,0,0
0,0,0
120311,1.093,33.6
0,0,0
0,0,0
120313,1.094,33.6
0,0,0
0,0,0
120315,1.094,33.7
0,0,0
0,0,0
120317,1.094,33.7
0,0,0
0,0,0
120319,1.094,33.7
0,0,0
0,0,0
120321,1.095,33.8
0,0,0
0,0,0
120323,1.095,33.8
0,0,0
0,0,0
120325,1.095,33.8
0,0,0
0,0,0
120327,1.096,33.9
0,0,0
0,0,0
120329,1.095,33.9
0,0,0
0,0,0
120331,1.094,33.9
0,0,0
0,0,0
120333,1.094,34
0,0,0
0,0,0
120335,1.094,34
0,0,0
0,0,0
120337,1.094,34
0,0,0
0,0,0
120339,1.095,34.1
0,0,0
0,0,0
120341,1.095,34.1
0,0,0
0,0,0
120343,1.097,34.1
0,0,0
0,0,0
120345,1.099,34.2
0,0,0
0,0,0
120347,1.101,34.2
0,0,0
0,0,0
120349,1.104,34.2
0,0,0
0,0,0
120351,1.105,34.2
0,0,0
0,0,0
120353,1.106,34.3
0,0,0
0,0,0
120355,1.106,34.3
0,0,0
0,0,0
120357,1.105,34.4
0,0,0
0,0,0
120359,1.105,34.4
0,0,0
0,0,0
120401,1.105,34.4
0,0,0
0,0,0
120403,1.104,34.5
0,0,0
0,0,0
120405,1.103,34.5
0,0,0
0,0,0
120407,1.104,34.5
0,0,0
0,0,0
120409,1.104,34.6
0,0,0
0,0,0
120411,1.105,34.6
0,0,0
0,0,0
120413,1.107,34.6
0,0,0
0,0,0
120415,1.109,34.6
0,0,0
0,0,0
120417,1.109,34.7
0,0,0
0,0,0
120419,1.108,34.7
0,0,0
0,0,0
120421,1.11,34.7
0,0,0
0,0,0
120423,1.112,34.8
0,0,0
0,0,0
120425,1.114,34.8
0,0,0
0,0,0
120427,1.118,34.8
0,0,0
0,0,0
120429,1.119,34.9
0,0,0
0,0,0
120431,1.12,34.9
0,0,0
0,0,0
120433,1.121,34.9
0,0,0
0,0,0
120435,1.121,34.9
0,0,0
0,0,0
120437,1.122,35
0,0,0
0,0,0
120439,1.123,35
0,0,0
0,0,0
120441,1.123,35
0,0,0
0,0,0
120443,1.124,35.1
0,0,0
0,0,0
120445,1.123,35.1
0,0,0
0,0,0
120447,1.122,35.1
0,0,0
0,0,0
120449,1.122,35.2
0,0,0
0,0,0
120451,1.122,35.2
0,0,0
0,0,0
120453,1.122,35.2
0,0,0
0,0,0
120455,1.123,35.2
0,0,0
0,0,0
120457,1.122,35.3
0,0,0
0,0,0
120459,1.122,35.3
0,0,0
0,0,0
120501,1.124,35.3
0,0,0
0,0,0
120503,1.126,35.4
0,0,0
0,0,0
120505,1.127,35.4
0,0,0
0,0,0
120507,1.129,35.4
0,0,0
0,0,0
120509,1.13,35.5
0,0,0
0,0,0
120511,1.129,35.5
0,0,0
0,0,0
120513,1.132,35.5
0,0,0
0,0,0
120515,1.132,35.5
0,0,0
0,0,0
120517,1.135,35.6
0,0,0
0,0,0
120519,1.137,35.6
0,0,0
0,0,0
120521,1.14,35.6
0,0,0
0,0,0
120523,1.14,35.6
0,0,0
0,0,0
120525,1.14,35.7
0,0,0
0,0,0
120527,1.14,35.7
0,0,0
0,0,0
120529,1.141,35.7
0,0,0
0,0,0
120531,1.142,35.7
0,0,0
0,0,0
120533,1.142,35.8
0,0,0
0,0,0
120535,1.143,35.8
0,0,0
0,0,0
120537,1.146,35.8
0,0,0
0,0,0
120539,1.15,35.8
0,0,0
0,0,0
120541,1.153,35.9
0,0,0
0,0,0
120543,1.159,35.9
0,0,0
0,0,0
120545,1.163,35.9
0,0,0
0,0,0
120547,1.166,36
0,0,0
0,0,0
120549,1.169,36
0,0,0
0,0,0
120551,1.17,36
0,0,0
0,0,0
120553,1.171,36
0,0,0
0,0,0
120555,1.172,36
0,0,0
0,0,0
120557,1.172,36.1
0,0,0
0,0,0
120559,1.172,36.1
0,0,0
0,0,0
120601,1.172,36.1
0,0,0
0,0,0
120603,1.172,36.1
0,0,0
0,0,0
120605,1.172,36.2
0,0,0
0,0,0
120607,1.172,36.2
0,0,0
0,0,0
120609,1.173,36.2
0,0,0
0,0,0
120611,1.174,36.2
0,0,0
0,0,0
120613,1.174,36.3
0,0,0
0,0,0
120615,1.174,36.3
0,0,0
0,0,0
120617,1.175,36.3
0,0,0
0,0,0
120619,1.175,36.3
0,0,0
0,0,0
120621,1.175,36.4
0,0,0
0,0,0
120623,1.175,36.4
0,0,0
0,0,0
120625,1.177,36.4
0,0,0
0,0,0
120627,1.178,36.4
0,0,0
0,0,0
120629,1.18,36.4
0,0,0
0,0,0
120631,1.181,36.5
0,0,0
0,0,0
120633,1.183,36.5
0,0,0
0,0,0
120635,1.183,36.5
0,0,0
0,0,0
120637,1.183,36.5
0,0,0
0,0,0
120639,1.184,36.6
0,0,0
0,0,0
120641,1.185,36.6
0,0,0
0,0,0
120643,1.186,36.6
0,0,0
0,0,0
120645,1.186,36.6
0,0,0
0,0,0
120647,1.186,36.6
0,0,0
0,0,0
120649,1.185,36.7
0,0,0
0,0,0
120651,1.185,36.7
0,0,0
0,0,0
120653,1.186,36.7
0,0,0
0,0,0
120655,1.186,36.7
0,0,0
0,0,0
120657,1.187,36.7
0,0,0
0,0,0
120659,1.188,36.8
0,0,0
0,0,0
120701,1.187,36.8
0,0,0
0,0,0
120703,1.187,36.8
0,0,0
0,0,0
120705,1.19,36.8
0,0,0
0,0,0
120707,1.213,36.8
0,0,0
0,0,0
120709,1.213,36.8
0,0,0
0,0,0
120711,1.213,36.9
0,0,0
0,0,0
120713,1.213,36.9
0,0,0
0,0,0
120715,1.212,36.9
0,0,0
0,0,0
120717,1.212,36.9
0,0,0
0,0,0
120719,1.212,36.9
0,0,0
0,0,0
120721,1.213,37
0,0,0
0,0,0
120723,1.214,37
0,0,0
0,0,0
120725,1.215,37
0,0,0
0,0,0
120727,1.216,37
0,0,0
0,0,0
120729,1.216,37
0,0,0
0,0,0
120731,1.216,37.1
0,0,0
0,0,0
120733,1.217,37.1
0,0,0
0,0,0
120735,1.217,37.1
0,0,0
0,0,0
120737,1.217,37.1
0,0,0
0,0,0
120739,1.218,37.1
0,0,0
0,0,0
120741,1.219,37.1
0,0,0
0,0,0
120743,1.219,37.2
0,0,0
0,0,0
120745,1.219,37.2
0,0,0
0,0,0
120747,1.219,37.2
0,0,0
0,0,0
120749,1.218,37.2
0,0,0
0,0,0
120751,1.22,37.2
0,0,0
0,0,0
120753,1.22,37.2
0,0,0
0,0,0
120755,1.221,37.2
0,0,0
0,0,0
120757,1.222,37.3
0,0,0
0,0,0
120759,1.224,37.3
0,0,0
0,0,0
120801,1.224,37.3
0,0,0
0,0,0
120803,1.225,37.3
